label;uniprotAccs;region_name;Score_Max;hemisphere
166;P28066;PSMA5_L;15;right
167;P25787;PSMA2_M;15;right
168;Q8TAA3;PSMA8_A;16;right
169;P28070;PSMB4_B;16;right
170;P28074;PSMB5_C;16;right
171;P49721;PSMB2_D;16;right
172;P20618;PSMB1_E;16;right
173;O14818;PSMA1_F;16;right
174;P28072;PSMB6_G;16;right
175;Q99436;PSMB7_H;16;right
176;P25789;PSMA4_I;16;right
177;P25788;PSMA3_J;16;right
178;P60900;PSMA6_K;16;right
179;P28066;PSMA5_L;16;right
180;P25787;PSMA2_M;16;right
181;Q8TAA3;PSMA8_A;17;right
182;P28070;PSMB4_B;17;right
183;P28074;PSMB5_C;17;right
184;P49721;PSMB2_D;17;right
185;P20618;PSMB1_E;17;right
186;O14818;PSMA1_F;17;right
187;P28072;PSMB6_G;17;right
188;Q99436;PSMB7_H;17;right
189;P25789;PSMA4_I;17;right
190;P25788;PSMA3_J;17;right
191;P60900;PSMA6_K;17;right
192;P28066;PSMA5_L;17;right
193;P25787;PSMA2_M;17;right
194;Q8TAA3;PSMA8_A;18;right
195;P28070;PSMB4_B;18;right
196;P28074;PSMB5_C;18;right
197;P49721;PSMB2_D;18;right
198;P20618;PSMB1_E;18;right
199;O14818;PSMA1_F;18;right
200;P28072;PSMB6_G;18;right
201;Q99436;PSMB7_H;18;right
202;P25789;PSMA4_I;18;right
203;P25788;PSMA3_J;18;right
204;P60900;PSMA6_K;18;right
205;P28066;PSMA5_L;18;right
206;P25787;PSMA2_M;18;right
207;Q8TAA3;PSMA8_A;19;right
208;P28070;PSMB4_B;19;right
209;P28074;PSMB5_C;19;right
210;P49721;PSMB2_D;19;right
211;P20618;PSMB1_E;19;right
212;O14818;PSMA1_F;19;right
213;P28072;PSMB6_G;19;right
214;Q99436;PSMB7_H;19;right
215;P25789;PSMA4_I;19;right
216;P25788;PSMA3_J;19;right
217;P60900;PSMA6_K;19;right
218;P28066;PSMA5_L;19;right
219;P25787;PSMA2_M;19;right
220;Q8TAA3;PSMA8_A;20;right
221;P28070;PSMB4_B;20;right
222;P28074;PSMB5_C;20;right
223;P49721;PSMB2_D;20;right
224;P20618;PSMB1_E;20;right
225;O14818;PSMA1_F;20;right
226;P28072;PSMB6_G;20;right
227;Q99436;PSMB7_H;20;right
228;P25789;PSMA4_I;20;right
229;P25788;PSMA3_J;20;right
230;P60900;PSMA6_K;20;right
231;P28066;PSMA5_L;20;right
232;P25787;PSMA2_M;20;right
233;Q8TAA3;PSMA8_A;21;right
234;P28070;PSMB4_B;21;right
235;P28074;PSMB5_C;21;right
236;P49721;PSMB2_D;21;right
237;P20618;PSMB1_E;21;right
238;O14818;PSMA1_F;21;right
239;P28072;PSMB6_G;21;right
240;Q99436;PSMB7_H;21;right
241;P25789;PSMA4_I;21;right
242;P25788;PSMA3_J;21;right
243;P60900;PSMA6_K;21;right
244;P28066;PSMA5_L;21;right
245;P25787;PSMA2_M;21;right
246;Q8TAA3;PSMA8_A;22;right
247;P28070;PSMB4_B;22;right
248;P28074;PSMB5_C;22;right
249;P49721;PSMB2_D;22;right
250;P20618;PSMB1_E;22;right
251;O14818;PSMA1_F;22;right
252;P28072;PSMB6_G;22;right
253;Q99436;PSMB7_H;22;right
254;P25789;PSMA4_I;22;right
255;P25788;PSMA3_J;22;right
256;P60900;PSMA6_K;22;right
257;P28066;PSMA5_L;22;right
258;P25787;PSMA2_M;22;right
259;Q8TAA3;PSMA8_A;23;right
260;P28070;PSMB4_B;23;right
261;P28074;PSMB5_C;23;right
262;P49721;PSMB2_D;23;right
263;P20618;PSMB1_E;23;right
264;O14818;PSMA1_F;23;right
265;P28072;PSMB6_G;23;right
266;Q99436;PSMB7_H;23;right
267;P25789;PSMA4_I;23;right
268;P25788;PSMA3_J;23;right
269;P60900;PSMA6_K;23;right
270;P28066;PSMA5_L;23;right
271;P25787;PSMA2_M;23;right
272;Q8TAA3;PSMA8_A;24;right
273;P28070;PSMB4_B;24;right
274;P28074;PSMB5_C;24;right
275;P49721;PSMB2_D;24;right
276;P20618;PSMB1_E;24;right
