Label;NodeStrength;DegreeCentrality;BetweennessCentrality;EigenvectorCentrality;ClusteringCoefficient;AvgPathLength;region_name;hemisphere
90;0.035472;0.9645;2.7872;5.3294;0.98561;1.0237;90_115_181_59;left
91;0.032964;0.98225;7.7702;5.3861;0.97035;1.0059;91_144_183_59;left
92;0.039666;0.98817;12.0642;5.3971;0.9627;1;92_145_183_59;left
93;0.039666;0.98817;12.0642;5.3971;0.9627;1;93_144_184_59;left
94;0.052782;0.98817;20.8422;5.3761;0.95534;1;94_145_184_59;left
95;0.085578;0.89349;15.1826;4.8796;0.96512;1.0947;95_144_185_59;left
96;0.093897;0.83432;13.1177;4.5557;0.96687;1.1538;96_145_185_59;left
97;0.062534;0.91124;0.67461;5.058;0.99601;1.0769;97_154_146_64;left
98;0.038431;0.9645;2.7872;5.3294;0.98561;1.0237;98_155_146_64;left
99;0.070716;0.88757;0.24966;4.9309;0.99848;1.1006;99_154_147_64;left
100;0.049114;0.94083;1.5074;5.213;0.99164;1.0473;100_155_147_64;left
101;0.032491;0.98225;7.7702;5.3861;0.97035;1.0059;101_156_147_64;left
102;0.088422;0.79882;0;4.4364;1;1.1893;102_154_148_64;left
103;0.070716;0.88757;0.24966;4.9309;0.99848;1.1006;103_155_148_64;left
104;0.041969;0.95266;1.9896;5.2731;0.98929;1.0355;104_156_148_64;left
105;0.054581;0.92308;0.96011;5.1206;0.99446;1.0651;105_154_146_65;left
106;0.038431;0.9645;2.7872;5.3294;0.98561;1.0237;106_155_146_65;left
107;0.064837;0.90533;0.54657;5.0265;0.99673;1.0828;107_154_147_65;left
108;0.054581;0.92308;0.96011;5.1206;0.99446;1.0651;108_155_147_65;left
109;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;109_98_119_67;left
110;0.034344;0.9645;2.7872;5.3294;0.98561;1.0237;110_99_119_67;left
111;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;111_98_120_67;left
112;0.036875;0.9645;2.7872;5.3294;0.98561;1.0237;112_99_120_67;left
113;0.068337;0.89941;0.43313;4.9948;0.99739;1.0888;113_110_150_68;left
114;0.073171;0.88757;0.24966;4.9309;0.99848;1.1006;114_111_150_68;left
115;0.074414;0.88166;0.20741;4.8983;0.99873;1.1065;115_110_151_68;left
116;0.069519;0.89349;0.3342;4.963;0.99797;1.0947;116_111_151_68;left
117;0.032041;0.97633;5.5032;5.3701;0.97635;1.0118;117_153_91_72;left
118;0.032628;0.97633;5.5032;5.3701;0.97635;1.0118;118_154_91_72;left
119;0.031988;0.97633;5.5032;5.3701;0.97635;1.0118;119_155_91_72;left
120;0.036151;0.9645;2.7872;5.3294;0.98561;1.0237;120_153_92_72;left
121;0.038431;0.9645;2.7872;5.3294;0.98561;1.0237;121_154_92_72;left
122;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;122_155_92_72;left
123;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;123_153_93_72;left
124;0.039277;0.9645;2.7872;5.3294;0.98561;1.0237;124_154_93_72;left
125;0.035472;0.9645;2.7872;5.3294;0.98561;1.0237;125_155_93_72;left
126;0.03352;0.9645;2.7872;5.3294;0.98561;1.0237;126_153_90_73;left
127;0.037394;0.98817;12.0642;5.3971;0.9627;1;127_154_90_73;left
128;0.035938;0.98817;12.0642;5.3971;0.9627;1;128_155_90_73;left
129;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;129_152_91_73;left
130;0.03352;0.9645;2.7872;5.3294;0.98561;1.0237;130_153_91_73;left
131;0.033909;0.9645;2.7872;5.3294;0.98561;1.0237;131_154_91_73;left
132;0.032041;0.97633;5.5032;5.3701;0.97635;1.0118;132_155_91_73;left
133;0.034344;0.9645;2.7872;5.3294;0.98561;1.0237;133_156_91_73;left
134;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;134_152_92_73;left
135;0.03352;0.9645;2.7872;5.3294;0.98561;1.0237;135_153_92_73;left
136;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;136_154_92_73;left
137;0.03291;0.97041;4.111;5.3499;0.981;1.0178;137_155_92_73;left
138;0.037646;0.9645;2.7872;5.3294;0.98561;1.0237;138_156_92_73;left
139;0.032041;0.97633;5.5032;5.3701;0.97635;1.0118;139_153_93_73;left
140;0.03352;0.9645;2.7872;5.3294;0.98561;1.0237;140_154_93_73;left
141;0.032041;0.97633;5.5032;5.3701;0.97635;1.0118;141_155_93_73;left
142;0.032033;0.98225;7.7702;5.3861;0.97035;1.0059;142_156_93_73;left
143;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;143_154_94_73;left
144;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;144_153_90_74;left
145;0.035068;0.98817;12.0642;5.3971;0.9627;1;145_154_90_74;left
146;0.033559;0.98225;7.7702;5.3861;0.97035;1.0059;146_155_90_74;left
147;0.033909;0.9645;2.7872;5.3294;0.98561;1.0237;147_152_91_74;left
148;0.032628;0.97633;5.5032;5.3701;0.97635;1.0118;148_153_91_74;left
149;0.032041;0.97633;5.5032;5.3701;0.97635;1.0118;149_154_91_74;left
150;0.031988;0.97633;5.5032;5.3701;0.97635;1.0118;150_155_91_74;left
151;0.032171;0.97633;5.5032;5.3701;0.97635;1.0118;151_156_91_74;left
152;0.034344;0.9645;2.7872;5.3294;0.98561;1.0237;152_152_92_74;left
153;0.036151;0.9645;2.7872;5.3294;0.98561;1.0237;153_153_92_74;left
154;0.036875;0.9645;2.7872;5.3294;0.98561;1.0237;154_154_92_74;left
155;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;155_155_92_74;left
156;0.034855;0.9645;2.7872;5.3294;0.98561;1.0237;156_156_92_74;left
157;0.032628;0.97633;5.5032;5.3701;0.97635;1.0118;157_153_93_74;left
158;0.034344;0.9645;2.7872;5.3294;0.98561;1.0237;158_154_93_74;left
159;0.032392;0.97633;5.5032;5.3701;0.97635;1.0118;159_155_93_74;left
160;0.032087;0.98225;7.7702;5.3861;0.97035;1.0059;160_154_91_75;left
161;0.031965;0.97633;5.5032;5.3701;0.97635;1.0118;161_155_91_75;left
162;0.035472;0.9645;2.7872;5.3294;0.98561;1.0237;162_154_92_75;left
163;0.034344;0.9645;2.7872;5.3294;0.98561;1.0237;163_155_92_75;left
164;0.043921;0.95266;1.9896;5.2731;0.98929;1.0355;164_121_119_86;left
165;0.041969;0.95266;1.9896;5.2731;0.98929;1.0355;165_122_119_86;left
166;0.032697;0.98225;7.7702;5.3861;0.97035;1.0059;166_121_120_86;left
167;0.032964;0.98225;7.7702;5.3861;0.97035;1.0059;167_122_120_86;left
168;0.051089;0.98817;20.8422;5.3761;0.95534;1;168_121_121_86;left
169;0.051089;0.98817;20.8422;5.3761;0.95534;1;169_122_121_86;left
170;0.12758;0.12758;0.12758;0.12758;0.12758;0.12758;170_137_95_8;right
171;0.16495;0.16495;0.16495;0.16495;0.16495;0.16495;171_140_99_8;right
172;0.097938;0.097938;0.097938;0.097938;0.097938;0.097938;172_133_96_9;right
173;0.11469;0.11469;0.11469;0.11469;0.11469;0.11469;173_132_100_9;right
174;0.20361;0.20361;0.20361;0.20361;0.20361;0.20361;174_147_94_10;right
175;0.12887;0.12887;0.12887;0.12887;0.12887;0.12887;175_116_100_10;right
176;0.28351;0.28351;0.28351;0.28351;0.28351;0.28351;176_125_103_10;right
177;0.15593;0.15593;0.15593;0.15593;0.15593;0.15593;177_149_89_11;right
178;0.15851;0.15851;0.15851;0.15851;0.15851;0.15851;178_134_94_11;right
179;0.125;0.125;0.125;0.125;0.125;0.125;179_145_98_11;right
180;0.10052;0.10052;0.10052;0.10052;0.10052;0.10052;180_115_102_11;right
181;0.28866;0.28866;0.28866;0.28866;0.28866;0.28866;181_131_102_11;right
182;0.1482;0.1482;0.1482;0.1482;0.1482;0.1482;182_144_102_11;right
183;0.30412;0.30412;0.30412;0.30412;0.30412;0.30412;183_129_104_11;right
184;0.20232;0.20232;0.20232;0.20232;0.20232;0.20232;184_137_105_11;right
185;0.14175;0.14175;0.14175;0.14175;0.14175;0.14175;185_145_85_12;right
186;0.1134;0.1134;0.1134;0.1134;0.1134;0.1134;186_144_87_12;right
187;0.1482;0.1482;0.1482;0.1482;0.1482;0.1482;187_145_90_12;right
188;0.22552;0.22552;0.22552;0.22552;0.22552;0.22552;188_153_93_12;right
189;0.1701;0.1701;0.1701;0.1701;0.1701;0.1701;189_159_95_12;right
190;0.17784;0.17784;0.17784;0.17784;0.17784;0.17784;190_113_96_12;right
191;0.22165;0.22165;0.22165;0.22165;0.22165;0.22165;191_155_97_12;right
192;0.24613;0.24613;0.24613;0.24613;0.24613;0.24613;192_135_99_12;right
193;0.28737;0.28737;0.28737;0.28737;0.28737;0.28737;193_127_102_12;right
194;0.16237;0.16237;0.16237;0.16237;0.16237;0.16237;194_134_106_12;right
195;0.090206;0.090206;0.090206;0.090206;0.090206;0.090206;195_144_107_12;right
196;0.14046;0.14046;0.14046;0.14046;0.14046;0.14046;196_133_111_12;right
197;0.27062;0.27062;0.27062;0.27062;0.27062;0.27062;197_108_85_13;right
198;0.41624;0.41624;0.41624;0.41624;0.41624;0.41624;198_104_88_13;right
199;0.13918;0.13918;0.13918;0.13918;0.13918;0.13918;199_144_88_13;right
200;0.22165;0.22165;0.22165;0.22165;0.22165;0.22165;200_150_91_13;right
201;0.22938;0.22938;0.22938;0.22938;0.22938;0.22938;201_152_94_13;right
202;0.27706;0.27706;0.27706;0.27706;0.27706;0.27706;202_121_97_13;right
203;0.13402;0.13402;0.13402;0.13402;0.13402;0.13402;203_112_100_13;right
204;0.23325;0.23325;0.23325;0.23325;0.23325;0.23325;204_146_102_13;right
205;0.15851;0.15851;0.15851;0.15851;0.15851;0.15851;205_154_105_13;right
206;0.13918;0.13918;0.13918;0.13918;0.13918;0.13918;206_140_108_13;right
207;0.12887;0.12887;0.12887;0.12887;0.12887;0.12887;207_146_108_13;right
208;0.27191;0.27191;0.27191;0.27191;0.27191;0.27191;208_149_79_14;right
209;0.15722;0.15722;0.15722;0.15722;0.15722;0.15722;209_140_84_14;right
210;0.19716;0.19716;0.19716;0.19716;0.19716;0.19716;210_112_85_14;right
211;0.21134;0.21134;0.21134;0.21134;0.21134;0.21134;211_101_87_14;right
212;0.29897;0.29897;0.29897;0.29897;0.29897;0.29897;212_105_88_14;right
213;0.20232;0.20232;0.20232;0.20232;0.20232;0.20232;213_109_88_14;right
214;0.22938;0.22938;0.22938;0.22938;0.22938;0.22938;214_154_88_14;right
215;0.22036;0.22036;0.22036;0.22036;0.22036;0.22036;215_158_88_14;right
216;0.22938;0.22938;0.22938;0.22938;0.22938;0.22938;216_156_90_14;right
217;0.19588;0.19588;0.19588;0.19588;0.19588;0.19588;217_159_93_14;right
218;0.19716;0.19716;0.19716;0.19716;0.19716;0.19716;218_99_94_14;right
219;0.13015;0.13015;0.13015;0.13015;0.13015;0.13015;219_160_94_14;right
220;0.20747;0.20747;0.20747;0.20747;0.20747;0.20747;220_131_96_14;right
221;0.19201;0.19201;0.19201;0.19201;0.19201;0.19201;221_153_98_14;right
222;0.27835;0.27835;0.27835;0.27835;0.27835;0.27835;222_106_101_14;right
223;0.31314;0.31314;0.31314;0.31314;0.31314;0.31314;223_130_102_14;right
224;0.17139;0.17139;0.17139;0.17139;0.17139;0.17139;224_111_105_14;right
225;0.13531;0.13531;0.13531;0.13531;0.13531;0.13531;225_147_107_14;right
226;0.40464;0.40464;0.40464;0.40464;0.40464;0.40464;226_111_77_15;right
227;0.31572;0.31572;0.31572;0.31572;0.31572;0.31572;227_106_78_15;right
228;0.16108;0.16108;0.16108;0.16108;0.16108;0.16108;228_118_78_15;right
229;0.11082;0.11082;0.11082;0.11082;0.11082;0.11082;229_117_80_15;right
230;0.16495;0.16495;0.16495;0.16495;0.16495;0.16495;230_141_82_15;right
231;0.25902;0.25902;0.25902;0.25902;0.25902;0.25902;231_143_85_15;right
232;0.19588;0.19588;0.19588;0.19588;0.19588;0.19588;232_117_87_15;right
233;0.10954;0.10954;0.10954;0.10954;0.10954;0.10954;233_126_89_15;right
234;0.27706;0.27706;0.27706;0.27706;0.27706;0.27706;234_149_91_15;right
235;0.10954;0.10954;0.10954;0.10954;0.10954;0.10954;235_128_92_15;right
236;0.24871;0.24871;0.24871;0.24871;0.24871;0.24871;236_107_94_15;right
237;0.26546;0.26546;0.26546;0.26546;0.26546;0.26546;237_136_94_15;right
238;0.28093;0.28093;0.28093;0.28093;0.28093;0.28093;238_150_95_15;right
239;0.27062;0.27062;0.27062;0.27062;0.27062;0.27062;239_146_96_15;right
240;0.15593;0.15593;0.15593;0.15593;0.15593;0.15593;240_127_98_15;right
241;0.30541;0.30541;0.30541;0.30541;0.30541;0.30541;241_145_100_15;right
242;0.17397;0.17397;0.17397;0.17397;0.17397;0.17397;242_134_101_15;right
243;0.26804;0.26804;0.26804;0.26804;0.26804;0.26804;243_114_104_15;right
244;0.33247;0.33247;0.33247;0.33247;0.33247;0.33247;244_127_106_15;right
245;0.26031;0.26031;0.26031;0.26031;0.26031;0.26031;245_143_106_15;right
246;0.13273;0.13273;0.13273;0.13273;0.13273;0.13273;246_111_107_15;right
247;0.14175;0.14175;0.14175;0.14175;0.14175;0.14175;247_122_111_15;right
248;0.22294;0.22294;0.22294;0.22294;0.22294;0.22294;248_146_78_16;right
249;0.20619;0.20619;0.20619;0.20619;0.20619;0.20619;249_106_81_16;right
250;0.21005;0.21005;0.21005;0.21005;0.21005;0.21005;250_115_81_16;right
251;0.25773;0.25773;0.25773;0.25773;0.25773;0.25773;251_151_84_16;right
252;0.24227;0.24227;0.24227;0.24227;0.24227;0.24227;252_117_87_16;right
253;0.14562;0.14562;0.14562;0.14562;0.14562;0.14562;253_162_89_16;right
254;0.28995;0.28995;0.28995;0.28995;0.28995;0.28995;254_156_91_16;right
255;0.27062;0.27062;0.27062;0.27062;0.27062;0.27062;255_112_92_16;right
256;0.28093;0.28093;0.28093;0.28093;0.28093;0.28093;256_118_92_16;right
257;0.11985;0.11985;0.11985;0.11985;0.11985;0.11985;257_129_92_16;right
258;0.15593;0.15593;0.15593;0.15593;0.15593;0.15593;258_99_95_16;right
259;0.2732;0.2732;0.2732;0.2732;0.2732;0.2732;259_105_95_16;right
260;0.28479;0.28479;0.28479;0.28479;0.28479;0.28479;260_119_97_16;right
261;0.13144;0.13144;0.13144;0.13144;0.13144;0.13144;261_126_97_16;right
262;0.12758;0.12758;0.12758;0.12758;0.12758;0.12758;262_96_100_16;right
263;0.24098;0.24098;0.24098;0.24098;0.24098;0.24098;263_149_101_16;right
264;0.22165;0.22165;0.22165;0.22165;0.22165;0.22165;264_109_103_16;right
265;0.32088;0.32088;0.32088;0.32088;0.32088;0.32088;265_124_103_16;right
266;0.27964;0.27964;0.27964;0.27964;0.27964;0.27964;266_141_103_16;right
267;0.32603;0.32603;0.32603;0.32603;0.32603;0.32603;267_129_104_16;right
268;0.16881;0.16881;0.16881;0.16881;0.16881;0.16881;268_154_105_16;right
269;0.14948;0.14948;0.14948;0.14948;0.14948;0.14948;269_121_107_16;right
270;0.15077;0.15077;0.15077;0.15077;0.15077;0.15077;270_117_109_16;right
271;0.31701;0.31701;0.31701;0.31701;0.31701;0.31701;271_126_109_16;right
272;0.25773;0.25773;0.25773;0.25773;0.25773;0.25773;272_140_75_17;right
273;0.15464;0.15464;0.15464;0.15464;0.15464;0.15464;273_137_77_17;right
274;0.2049;0.2049;0.2049;0.2049;0.2049;0.2049;274_107_81_17;right
275;0.2732;0.2732;0.2732;0.2732;0.2732;0.2732;275_110_81_17;right
276;0.14691;0.14691;0.14691;0.14691;0.14691;0.14691;276_120_81_17;right
277;0.20232;0.20232;0.20232;0.20232;0.20232;0.20232;277_104_82_17;right
278;0.25;0.25;0.25;0.25;0.25;0.25;278_103_84_17;right
279;0.12629;0.12629;0.12629;0.12629;0.12629;0.12629;279_132_86_17;right
280;0.12242;0.12242;0.12242;0.12242;0.12242;0.12242;280_133_87_17;right
281;0.29381;0.29381;0.29381;0.29381;0.29381;0.29381;281_116_89_17;right
282;0.076031;0.076031;0.076031;0.076031;0.076031;0.076031;282_165_91_17;right
283;0.22036;0.22036;0.22036;0.22036;0.22036;0.22036;283_99_94_17;right
284;0.28737;0.28737;0.28737;0.28737;0.28737;0.28737;284_157_95_17;right
285;0.056701;0.056701;0.056701;0.056701;0.056701;0.056701;285_94_96_17;right
286;0.29897;0.29897;0.29897;0.29897;0.29897;0.29897;286_135_97_17;right
287;0.31314;0.31314;0.31314;0.31314;0.31314;0.31314;287_141_98_17;right
288;0.28222;0.28222;0.28222;0.28222;0.28222;0.28222;288_152_100_17;right
289;0.28479;0.28479;0.28479;0.28479;0.28479;0.28479;289_112_102_17;right
290;0.14046;0.14046;0.14046;0.14046;0.14046;0.14046;290_166_102_17;right
291;0.29253;0.29253;0.29253;0.29253;0.29253;0.29253;291_146_103_17;right
292;0.16624;0.16624;0.16624;0.16624;0.16624;0.16624;292_162_104_17;right
293;0.15077;0.15077;0.15077;0.15077;0.15077;0.15077;293_136_107_17;right
294;0.10696;0.10696;0.10696;0.10696;0.10696;0.10696;294_109_110_17;right
295;0.23969;0.23969;0.23969;0.23969;0.23969;0.23969;295_148_141_17;right
296;0.17912;0.17912;0.17912;0.17912;0.17912;0.17912;296_153_75_18;right
297;0.25515;0.25515;0.25515;0.25515;0.25515;0.25515;297_145_79_18;right
298;0.24871;0.24871;0.24871;0.24871;0.24871;0.24871;298_137_81_18;right
299;0.17139;0.17139;0.17139;0.17139;0.17139;0.17139;299_98_84_18;right
300;0.2732;0.2732;0.2732;0.2732;0.2732;0.2732;300_143_86_18;right
301;0.2049;0.2049;0.2049;0.2049;0.2049;0.2049;301_166_86_18;right
302;0.24871;0.24871;0.24871;0.24871;0.24871;0.24871;302_159_88_18;right
303;0.26675;0.26675;0.26675;0.26675;0.26675;0.26675;303_118_89_18;right
304;0.12629;0.12629;0.12629;0.12629;0.12629;0.12629;304_130_89_18;right
305;0.22809;0.22809;0.22809;0.22809;0.22809;0.22809;305_126_91_18;right
306;0.12758;0.12758;0.12758;0.12758;0.12758;0.12758;306_94_94_18;right
307;0.28866;0.28866;0.28866;0.28866;0.28866;0.28866;307_151_94_18;right
308;0.27448;0.27448;0.27448;0.27448;0.27448;0.27448;308_153_95_18;right
309;0.29253;0.29253;0.29253;0.29253;0.29253;0.29253;309_152_97_18;right
310;0.17397;0.17397;0.17397;0.17397;0.17397;0.17397;310_131_99_18;right
311;0.29897;0.29897;0.29897;0.29897;0.29897;0.29897;311_140_100_18;right
312;0.16495;0.16495;0.16495;0.16495;0.16495;0.16495;312_167_101_18;right
313;0.28608;0.28608;0.28608;0.28608;0.28608;0.28608;313_120_102_18;right
314;0.27835;0.27835;0.27835;0.27835;0.27835;0.27835;314_153_104_18;right
315;0.25387;0.25387;0.25387;0.25387;0.25387;0.25387;315_116_107_18;right
316;0.12242;0.12242;0.12242;0.12242;0.12242;0.12242;316_109_109_18;right
317;0.1482;0.1482;0.1482;0.1482;0.1482;0.1482;317_134_113_18;right
318;0.25129;0.25129;0.25129;0.25129;0.25129;0.25129;318_153_136_18;right
319;0.25258;0.25258;0.25258;0.25258;0.25258;0.25258;319_152_139_18;right
320;0.31959;0.31959;0.31959;0.31959;0.31959;0.31959;320_109_71_19;right
321;0.18041;0.18041;0.18041;0.18041;0.18041;0.18041;321_139_75_19;right
322;0.30928;0.30928;0.30928;0.30928;0.30928;0.30928;322_114_78_19;right
323;0.28351;0.28351;0.28351;0.28351;0.28351;0.28351;323_141_79_19;right
324;0.17526;0.17526;0.17526;0.17526;0.17526;0.17526;324_130_80_19;right
325;0.20103;0.20103;0.20103;0.20103;0.20103;0.20103;325_160_81_19;right
326;0.17397;0.17397;0.17397;0.17397;0.17397;0.17397;326_122_84_19;right
327;0.25773;0.25773;0.25773;0.25773;0.25773;0.25773;327_162_86_19;right
328;0.1366;0.1366;0.1366;0.1366;0.1366;0.1366;328_125_87_19;right
329;0.29639;0.29639;0.29639;0.29639;0.29639;0.29639;329_143_87_19;right
330;0.32345;0.32345;0.32345;0.32345;0.32345;0.32345;330_113_89_19;right
331;0.31057;0.31057;0.31057;0.31057;0.31057;0.31057;331_108_90_19;right
332;0.1482;0.1482;0.1482;0.1482;0.1482;0.1482;332_127_90_19;right
