label;Sample;superclass;region_name;hemisphere
201;3;PC CA1;CA1;left
202;3;PC CA1;CA1;left
203;3;PC CA1;CA1;left
204;3;Non neuron;CA1;left
205;3;Uncalled;CA1;left
206;3;PC other;CA1;left
207;3;Non neuron;CA1;left
208;3;Uncalled;CA1;left
209;3;PC CA1;CA1;left
210;3;Uncalled;CA1;left
211;3;PC CA1;CA1;left
212;3;PC CA1;CA1;left
213;3;Non neuron;CA1;left
214;3;PC CA1;CA1;left
215;3;PC CA1;CA1;left
216;3;Uncalled;CA1;left
217;3;PC CA1;CA1;left
218;3;Non neuron;CA1;left
219;3;O/LM;CA1;left
220;3;PC CA1;CA1;left
221;3;PC CA1;CA1;left
222;3;PC CA1;CA1;left
223;3;Uncalled;CA1;left
224;3;PC CA1;CA1;left
225;3;Uncalled;CA1;left
226;3;PC CA1;CA1;left
227;3;PC CA1;CA1;left
228;3;PC CA1;CA1;left
229;3;Uncalled;CA1;left
230;3;PC CA1;CA1;left
231;3;PC CA1;CA1;left
232;3;PC CA1;CA1;left
233;3;PC CA1;CA1;left
234;3;Uncalled;CA1;left
235;3;PC CA1;CA1;left
236;3;PC CA1;CA1;left
237;3;PC CA1;CA1;left
238;3;PC CA1;CA1;left
239;3;PC CA1;CA1;left
240;3;O/LM;CA1;left
241;3;Uncalled;CA1;left
242;3;PC CA1;CA1;left
243;3;PC CA1;CA1;left
244;3;Uncalled;CA1;left
245;3;Non neuron;CA1;left
246;3;PC CA1;CA1;left
247;3;Uncalled;CA1;left
248;3;Non neuron;CA1;left
249;3;PC CA1;CA1;left
250;3;PC CA1;CA1;left
251;3;PC CA1;CA1;left
252;3;Uncalled;CA1;left
253;3;PC CA1;CA1;left
254;3;Uncalled;CA1;left
255;3;PC CA1;CA1;left
256;3;PC CA1;CA1;left
257;3;PC CA1;CA1;left
258;3;PC CA1;CA1;left
259;3;Non neuron;CA1;left
260;3;Non neuron;CA1;left
261;3;PC CA1;CA1;left
262;3;Non neuron;CA1;left
263;3;PC CA1;CA1;left
264;3;Uncalled;CA1;left
265;3;PC CA1;CA1;left
266;3;PC CA1;CA1;left
267;3;Uncalled;CA1;left
268;3;PC CA1;CA1;left
269;3;Non neuron;CA1;left
270;3;Uncalled;CA1;left
271;3;PC CA1;CA1;left
