label;Anatomy;region_name;hemisphere;case_id;node_set_id;local_label;node_id;seg_label;x;y;z;graph_seed;node_count;node_hash;degree_export_k20;strength_export_k20;KMeans_k20_c16_s0_Clustering;degree_export_k40;strength_export_k40;KMeans_k40_c16_s0_Clustering
22;left_module_13;UPENN-GBM-00013_11 node 21;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;22;21;2;118;186;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;11.468197;13;9;15.331695;13
23;left_module_13;UPENN-GBM-00013_11 node 22;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;23;22;2;118;186;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;9;13.453087;13;9;16.287849;13
24;left_module_1;UPENN-GBM-00013_11 node 23;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;24;23;2;118;187;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;6;5.007529;1;9;7.9988211;1
25;left_module_6;UPENN-GBM-00013_11 node 24;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;25;24;2;118;187;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;6.7885259;6;6;6.9828769;6
26;left_module_13;UPENN-GBM-00013_11 node 25;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;26;25;2;118;187;108;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;13;13.080846;13;11;13.924728;13
27;left_module_13;UPENN-GBM-00013_11 node 26;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;27;26;2;118;187;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;15;16.478224;13;12;16.439658;13
28;left_module_13;UPENN-GBM-00013_11 node 27;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;28;27;2;118;187;110;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;10.10075;13;12;19.870659;13
29;left_module_13;UPENN-GBM-00013_11 node 28;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;29;28;2;118;187;111;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;8.748905;13;7;11.538663;13
30;left_module_6;UPENN-GBM-00013_11 node 29;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;30;29;2;118;188;106;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;7;5.5071245;6;8;7.2887311;6
31;left_module_13;UPENN-GBM-00013_11 node 30;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;31;30;2;118;188;107;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;8;8.5233835;13;12;15.214415;13
32;left_module_13;UPENN-GBM-00013_11 node 31;left;UPENN-GBM-00013_11;UPENN-GBM-00013_11__n21760_s0;32;31;2;118;188;109;0;21760;ca408ea2661298e28e13bb5ef2736db1f5c4f37911e7b274e210cbd8530a6098;14;16.713682;13;14;20.441534;13
