label;region_name;Score_Max;hemisphere
205;PSMA5_L;18;right
206;PSMA2_M;18;right
207;PSMA8_A;19;right
208;PSMB4_B;19;right
209;PSMB5_C;19;right
210;PSMB2_D;19;right
211;PSMB1_E;19;right
212;PSMA7_F;19;right
213;PSMB6_G;19;right
214;PSMB7_H;19;right
215;PSMA4_I;19;right
216;PSMA3_J;19;right
217;PSMA6_K;19;right
218;PSMA5_L;19;right
219;PSMA2_M;19;right
220;PSMA8_A;20;right
221;PSMB4_B;20;right
222;PSMB5_C;20;right
223;PSMB2_D;20;right
224;PSMB1_E;20;right
225;PSMA7_F;20;right
226;PSMB6_G;20;right
227;PSMB7_H;20;right
228;PSMA4_I;20;right
229;PSMA3_J;20;right
230;PSMA6_K;20;right
231;PSMA5_L;20;right
232;PSMA2_M;20;right
233;PSMA8_A;21;right
234;PSMB4_B;21;right
235;PSMB5_C;21;right
236;PSMB2_D;21;right
237;PSMB1_E;21;right
238;PSMA7_F;21;right
239;PSMB6_G;21;right
240;PSMB7_H;21;right
241;PSMA4_I;21;right
242;PSMA3_J;21;right
243;PSMA6_K;21;right
244;PSMA5_L;21;right
245;PSMA2_M;21;right
246;PSMA8_A;22;right
247;PSMB4_B;22;right
248;PSMB5_C;22;right
249;PSMB2_D;22;right
250;PSMB1_E;22;right
251;PSMA7_F;22;right
252;PSMB6_G;22;right
253;PSMB7_H;22;right
254;PSMA4_I;22;right
255;PSMA3_J;22;right
256;PSMA6_K;22;right
257;PSMA5_L;22;right
258;PSMA2_M;22;right
259;PSMA8_A;23;right
260;PSMB4_B;23;right
261;PSMB5_C;23;right
262;PSMB2_D;23;right
263;PSMB1_E;23;right
264;PSMA7_F;23;right
265;PSMB6_G;23;right
266;PSMB7_H;23;right
267;PSMA4_I;23;right
268;PSMA3_J;23;right
269;PSMA6_K;23;right
270;PSMA5_L;23;right
271;PSMA2_M;23;right
272;PSMA8_A;24;right
273;PSMB4_B;24;right
274;PSMB5_C;24;right
275;PSMB2_D;24;right
276;PSMB1_E;24;right
277;PSMA7_F;24;right
278;PSMB6_G;24;right
279;PSMB7_H;24;right
280;PSMA4_I;24;right
281;PSMA3_J;24;right
282;PSMA6_K;24;right
283;PSMA5_L;24;right
284;PSMA2_M;24;right
285;PSMA8_A;25;right
286;PSMB4_B;25;right
287;PSMB5_C;25;right
288;PSMB2_D;25;right
289;PSMB1_E;25;right
290;PSMA7_F;25;right
291;PSMB6_G;25;right
292;PSMB7_H;25;right
293;PSMA4_I;25;right
294;PSMA3_J;25;right
295;PSMA6_K;25;right
296;PSMA5_L;25;right
297;PSMA2_M;25;right
298;PSMA8_A;26;right
299;PSMB4_B;26;right
300;PSMB5_C;26;right
301;PSMB2_D;26;right
302;PSMB1_E;26;right
303;PSMA7_F;26;right
304;PSMB6_G;26;right
305;PSMB7_H;26;right
306;PSMA4_I;26;right
307;PSMA3_J;26;right
308;PSMA6_K;26;right
309;PSMA5_L;26;right
310;PSMA2_M;26;right
311;PSMA8_A;27;right
312;PSMB4_B;27;right
313;PSMB5_C;27;right
314;PSMB2_D;27;right
315;PSMB1_E;27;right
316;PSMA7_F;27;right
317;PSMB6_G;27;right
318;PSMB7_H;27;right
319;PSMA4_I;27;right
320;PSMA3_J;27;right
321;PSMA6_K;27;right
322;PSMA5_L;27;right
323;PSMA2_M;27;right
324;PSMA8_A;28;right
325;PSMB4_B;28;right
326;PSMB5_C;28;right
327;PSMB2_D;28;right
328;PSMB1_E;28;right
329;PSMA7_F;28;right
330;PSMB6_G;28;right
331;PSMB7_H;28;right
332;PSMA4_I;28;right
333;PSMA3_J;28;right
334;PSMA6_K;28;right
335;PSMA5_L;28;right
336;PSMA2_M;28;right
337;PSMA8_A;29;right
338;PSMB4_B;29;right
339;PSMB5_C;29;right
340;PSMB2_D;29;right
341;PSMB1_E;29;right
342;PSMA7_F;29;right
343;PSMB6_G;29;right
344;PSMB7_H;29;right
345;PSMA4_I;29;right
346;PSMA3_J;29;right
347;PSMA6_K;29;right
348;PSMA5_L;29;right
349;PSMA2_M;29;right
350;PSMA8_A;30;right
351;PSMB4_B;30;right
352;PSMB5_C;30;right
353;PSMB2_D;30;right
354;PSMB1_E;30;right
355;PSMA7_F;30;right
