label,Iso-map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
37,0.40199,-0.89462,1.0619,8.57281,3.88253,-0.89676,20.4763,42.3741,2.10843,1,1,1,1
38,3.36818,-0.68057,0.35344,3.9016,6.49105,-3.10665,-54.44724,23.64471,42.45151,1,1,1,5
39,2.01704,-0.79718,-0.11772,5.20049,6.82884,-1.72184,-33.07677,54.86933,-16.46617,1,1,1,5
40,2.24391,-0.82321,0.15968,5.01696,6.58015,-3.26503,-44.51098,28.41561,32.69167,1,1,3,5
41,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,41.28733,6.44838,40.11334,2,2,1,5
42,-0.98585,-0.49572,-0.11534,13.04663,-3.11751,-1.19281,39.80213,-0.46778,70.42111,3,1,1,6
43,-0.89127,-0.43643,-0.08247,13.25586,-3.32957,-1.51939,58.4421,10.16108,57.48024,3,3,1,5
44,1.47345,0.81512,-0.1542,5.11416,5.49738,0.60855,-48.77964,21.0604,-32.56371,1,1,1,6
45,-0.84808,-0.54365,-0.23708,10.5566,0.43781,-2.08312,2.8848,-36.2489,57.78008,3,1,1,3
46,-0.18303,-0.45706,0.12919,11.42614,0.58889,-1.26233,9.40224,25.32206,8.46551,4,1,1,1
47,1.45366,0.20345,-1.27666,5.32046,5.47854,-2.2614,6.73531,61.03624,-31.02777,1,1,1,2
48,-1.0775,-0.5555,-0.10796,13.24683,-3.20632,-1.57733,57.96302,34.46638,-29.4965,3,3,1,4
49,3.76702,0.0722,0.04568,3.01111,6.43826,-2.74412,-37.67026,38.33628,-28.32133,1,1,3,1
50,-1.1421,-0.42709,-0.20262,13.37051,-3.31809,-1.60113,63.16908,-34.09133,27.83276,3,3,1,3
51,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-88.8635,8.9702,54.49164,2,2,1,5
52,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,10.41535,19.76232,52.95357,2,2,2,2
53,1.39713,0.19036,-1.10261,5.46506,5.74855,-2.27832,-4.67266,58.53712,-39.53287,1,1,1,2
54,0.17604,-0.46597,0.2248,8.77772,3.77244,-1.07454,72.4607,-12.69171,-34.15242,1,1,1,5
55,2.49234,1.01167,-0.63132,3.77658,6.11233,-0.98775,-27.23674,50.68524,-41.66948,1,1,1,6
56,0.4723,-0.18875,-0.37503,8.31318,3.90503,-2.38387,-3.94879,47.4878,-7.08932,1,1,1,2
57,2.39505,-0.62339,-0.25036,4.66926,6.92424,-3.663,-39.2933,30.0117,13.4222,1,1,3,2
58,2.81515,0.84071,-0.49222,3.52525,6.90827,-1.81952,31.95122,62.84644,-2.30712,1,1,1,2
59,-0.79586,-0.3888,-0.09977,12.66544,-2.54068,-1.60446,59.71589,48.7735,17.097,3,1,1,5
60,0.59863,-0.5234,0.54883,8.51759,5.20052,-1.9467,38.9669,4.67709,-69.82171,1,1,1,1
61,2.77829,-0.63252,0.55786,3.78861,6.4958,-2.69808,-28.36954,26.8943,-19.36237,1,1,3,1
62,1.07978,1.08776,-0.4095,6.57615,4.38551,-0.7586,71.40532,128.27533,-37.73556,1,1,1,6
63,-0.15833,-0.64921,0.498,11.24846,0.38613,-1.53387,-25.84499,-13.43014,59.49308,1,1,1,1
64,0.50411,-0.12354,-0.33263,8.28046,3.93154,-2.08821,-10.95604,32.70361,-2.58671,1,1,1,2
65,0.24064,-0.28031,-0.17175,10.12081,3.74733,-1.74726,-26.38576,-56.45588,-31.70421,1,1,1,2
66,2.38411,-0.7015,1.68521,4.78114,6.9745,-1.22464,-31.70163,14.22617,-4.7967,1,1,3,1
67,1.33319,-0.14058,0.64879,6.77781,6.0995,-0.76379,-31.39858,51.29004,0.29074,1,1,3,5
68,2.20343,0.40539,0.10799,5.01719,6.81108,-2.2808,-37.96594,35.84104,-4.39846,1,1,3,5
69,-0.22021,-0.59478,0.00608,12.21953,-0.80247,-1.93113,43.17958,55.938,37.60719,1,1,1,5
70,0.81272,0.22857,0.40236,8.33236,5.59094,0.01889,70.93142,17.72552,-70.74228,1,1,1,6
71,0.34247,0.09797,-0.47084,8.38295,3.37336,-1.30985,-40.99502,-34.19127,15.85257,1,1,1,3
72,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,23.32026,29.68742,44.38107,2,2,2,6
73,0.9719,0.86309,-0.40552,6.91493,5.38394,-1.00183,-5.56873,49.41078,-58.9779,1,1,1,6
74,1.65228,0.44862,-0.69587,5.35167,6.45074,-2.15622,13.33743,63.11414,-10.44858,1,1,1,2
75,1.34705,0.4085,-0.76755,5.8129,6.02884,-2.38141,-21.97263,64.37362,24.07553,1,1,1,2
76,1.46682,0.20279,-0.22274,6.58944,5.48453,-1.96218,-50.7967,28.00423,-8.26646,1,1,3,2
77,-1.17253,-0.57718,-0.09104,12.99824,-3.43488,-1.57418,55.5132,-21.0864,59.61114,3,1,1,5
78,2.27981,0.06541,0.00379,5.0503,7.57717,-3.1833,-52.61624,19.93473,9.1458,1,1,3,2
79,2.22179,0.43409,0.58889,4.79883,7.6078,-1.82024,-48.16403,10.98319,24.1131,1,1,1,5
80,1.26775,0.08032,0.95414,7.52337,5.67749,-1.40362,23.60739,-14.46065,82.82592,1,1,1,5
81,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,31.64795,-3.00687,25.68442,2,2,1,2
82,-0.75277,-0.31356,-0.04924,13.3694,-3.07496,-1.61381,16.61443,19.42158,76.00842,3,1,1,3
83,-0.31327,0.18059,-0.46712,10.02571,1.68829,-0.52433,-8.0442,16.83526,0.31515,1,1,1,2
84,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,38.50833,17.9554,24.24122,2,2,1,5
85,2.18537,1.60393,-0.24712,3.58814,6.69287,-0.08269,-71.73928,16.30856,-8.78579,1,1,1,6
86,-0.18175,-0.56374,0.28438,11.22281,1.44459,-0.99533,-12.5068,10.10112,35.22997,1,1,1,1
87,0.11981,0.36039,-0.50964,8.87239,3.80182,-1.30612,-14.46066,-2.12442,-8.45817,1,1,1,2
88,0.42645,0.20299,-0.0603,9.21302,4.04271,-1.32904,8.49561,33.13962,-15.005,1,1,1,2
89,1.98287,0.01196,1.9223,4.77986,7.13267,-0.67468,-30.8681,8.73535,-19.68738,1,1,3,1
90,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,16.67884,-41.16431,-42.64031,2,2,1,5
91,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,50.78428,24.25699,11.86493,2,2,1,2
92,1.3856,0.03285,2.21048,5.54555,6.40456,0.0687,-37.36276,-4.38849,-20.18387,1,1,1,1
93,0.53949,0.83764,0.04963,8.3707,4.84957,0.9885,13.87484,41.47168,-55.96454,1,1,1,6
94,0.67954,0.24022,2.10345,6.63322,5.98697,0.76528,-37.74101,-1.60873,-37.25916,1,1,1,1
95,0.47302,-0.05478,2.30912,7.68925,5.1716,0.01741,20.78698,35.48552,-32.60621,1,1,1,1
96,1.00798,0.87397,-0.49382,5.86115,5.83618,-0.44413,-88.21589,5.3281,-24.19098,1,1,1,2
97,1.56129,0.8595,0.99276,5.48557,7.08651,-0.14394,-55.16161,-3.81218,22.61605,1,1,1,5
98,0.3462,0.33217,-0.39033,8.81571,3.81323,-0.57619,-20.10422,-116.64246,-26.6442,1,1,1,2
99,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,49.03954,12.81947,-5.78465,2,2,1,5
100,1.42229,1.73436,0.45669,4.52421,6.33624,1.84313,-67.8281,18.61671,-25.83305,1,1,1,6
101,0.52509,0.68769,-0.39769,8.31984,4.6861,-0.07417,-70.17095,-4.12486,48.82128,1,1,1,2
102,1.03779,1.00522,-0.39662,6.72316,6.82971,-0.36613,-13.32912,82.90454,19.82549,1,1,1,2
103,0.03653,0.01732,0.01792,11.26533,1.66005,-0.4308,-2.78369,29.76241,-30.03219,1,1,1,2
104,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,55.60342,-21.48876,-4.51297,2,2,1,5
105,-0.18007,0.40497,-0.03263,10.68663,2.15382,0.11031,7.15507,6.60812,-7.92992,1,1,1,6
106,-0.10856,0.05246,-0.19709,11.22278,1.41513,-0.04003,-6.20592,16.65991,-18.54584,1,1,1,2
107,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,6.2502,2.55665,81.26076,2,2,1,6
108,0.18817,-0.02565,0.43264,9.80721,4.10562,-0.76912,-13.5204,18.00655,-68.62895,1,1,1,1
109,-0.75079,-0.4032,-0.0546,13.54329,-3.39202,-1.72807,-45.25651,-43.36148,38.68735,3,2,1,6
110,0.9228,1.30767,-0.71082,5.41237,5.15189,-0.37337,-76.8849,11.57192,32.2526,1,1,1,2
111,0.05094,0.46949,0.25985,10.04376,3.47673,0.76754,-0.12226,-9.53718,3.22549,1,1,1,6
112,-0.1927,-0.31068,0.10669,10.51922,2.31184,-1.36196,39.76574,35.9904,-5.49082,4,1,1,1
113,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,20.23868,-69.81212,17.28556,2,2,1,2
