label,Iso-map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
233,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,2.48193,23.41403,36.71742,2,2,2,2
234,-0.48065,-0.29396,-0.04163,13.53523,-2.70848,-0.89956,171.46529,-250.88808,-144.615,2,1,1,5
235,-0.76569,-0.3972,0.11604,13.07862,-2.34212,-0.07724,12.40399,1.5378,18.59608,1,1,1,1
236,-0.65047,-0.071,-0.24264,13.19188,-2.36118,0.01546,23.46954,-9.41598,-15.94309,3,1,1,2
237,-1.03242,0.09908,-0.35464,11.55159,-0.70518,1.31967,-39.76964,27.05728,65.89188,1,1,1,6
238,-0.97538,-0.1144,-0.19231,12.1986,-1.30975,1.133,3.28043,-55.77445,-22.69635,1,1,1,2
239,-0.82937,-0.28963,-0.10739,13.17717,-3.27941,-1.52126,23.13572,-13.56976,56.12855,3,3,1,6
240,-0.90971,-0.30475,-0.55764,12.69583,-2.41673,-0.01419,-5.80843,-84.2167,4.69165,1,1,1,2
241,-0.85077,0.09172,-0.25482,12.3207,-1.91053,1.89955,32.3662,-31.19122,-3.13641,1,1,1,1
242,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,12.945,2.09868,40.72513,2,2,1,2
243,-0.59679,-0.18476,-0.1834,13.27558,-2.26783,0.00469,19.67507,-33.29378,-13.76599,1,1,1,1
244,-1.09362,0.0249,-0.29448,12.278,-1.99637,1.17572,36.92705,-47.02232,-11.42459,1,1,1,6
245,-0.57243,-0.30425,-0.03604,13.52524,-3.17253,-1.32366,-47.10756,-57.4151,20.75276,2,1,1,3
246,-1.04313,0.07039,-0.37073,12.81338,-1.59821,1.4291,-25.22035,20.8039,80.42425,1,1,1,6
247,-0.80446,-0.03737,-0.37099,12.98193,-1.73363,0.6057,-14.84385,0.79048,74.99301,1,1,1,2
248,-0.86011,-0.18273,-0.15721,12.77006,-2.11735,0.70465,34.83293,-31.90338,17.31486,3,1,1,6
249,-1.09167,-0.2599,-0.40285,13.06323,-2.10496,0.25218,-40.33159,-2.40996,75.7701,1,1,1,2
250,-0.50873,-0.25615,-0.08485,13.37446,-2.57386,-0.62182,-21.864,-67.26058,18.91982,2,1,1,2
251,-0.90927,-0.03195,-0.16874,12.20739,-0.91199,2.22127,15.35138,-68.42906,-56.28524,1,1,1,1
252,-0.77832,-0.06489,-0.15411,12.75452,-1.37246,1.36394,59.78262,-12.72134,129.77559,3,1,1,5
253,-0.94501,-0.17792,-0.38685,12.96572,-2.09857,0.3222,0.35171,-63.94837,5.55485,1,1,1,2
254,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,26.77768,-53.98966,-29.16617,2,2,1,3
255,-1.10748,0.20023,-0.37062,12.11698,-0.78335,2.72479,-55.63196,70.3836,-16.95583,1,1,1,6
256,-1.05182,0.19236,-0.49683,11.89521,-1.20897,2.17,36.08977,-55.72529,-52.02122,1,1,1,6
257,-1.03422,-0.10157,-0.47496,12.23348,-1.20972,1.73786,19.21434,-75.76584,-15.05641,1,1,1,6
258,-0.72507,-0.37015,-0.06743,13.29922,-3.19021,-1.41622,51.94671,-14.12941,34.09721,3,1,1,2
259,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,-2.0509,28.47744,66.39844,2,2,1,5
260,-0.90225,-0.20527,-0.26676,13.18471,-2.84943,-0.83772,47.45532,-27.82167,-23.16096,3,1,1,6
261,-0.77296,-0.12459,-0.18885,12.73142,-1.71211,0.98914,14.68626,-56.01713,-8.67685,3,1,1,5
262,-0.73605,-0.15266,-0.21486,13.18188,-1.8988,0.86286,28.50069,72.46302,-28.38843,3,1,1,2
263,-1.13626,-0.08067,-0.38907,12.2409,-1.49467,1.63324,41.51266,-72.63449,-20.2477,1,1,1,2
264,-0.79892,-0.22045,-0.22855,13.12875,-2.10872,0.46486,52.01571,-27.17623,-47.58255,3,1,1,6
265,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,22.16848,15.12824,32.17871,2,2,1,6
266,-1.14085,-0.50101,-0.23974,11.87966,-2.09672,1.16587,52.21395,-39.63987,4.20691,3,1,1,6
267,-0.56589,-0.28848,-0.05548,13.49326,-3.09207,-1.08,22.0051,-13.13702,2.21193,2,1,1,2
268,-1.04754,-0.45036,-0.16337,12.13863,-1.85406,1.41999,49.25982,-71.06428,-2.45347,3,1,1,2
269,-0.87896,-0.45935,-0.07431,13.31518,-3.44663,-1.73913,74.43392,-5.86187,44.16482,3,1,1,6
270,-1.03245,-0.50444,-0.20805,11.99413,-1.80641,1.63915,49.29886,-57.68552,8.05399,3,1,1,2
271,-1.17433,-0.6005,-0.12418,13.22042,-3.21912,-1.82225,69.2759,39.80303,-5.58459,3,1,1,6
272,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72807,5.62426,4.02515,59.93421,2,2,2,6
273,-0.93078,-0.50068,-0.15767,12.37911,-2.33982,0.9517,41.03526,-59.69216,18.78047,3,1,1,2
274,-0.85332,-0.41416,-0.09235,12.66534,-2.93709,-0.65545,69.92638,-5.89492,-8.68778,3,1,1,1
275,-0.90957,-0.37679,-0.12362,13.16459,-2.87793,-0.96429,70.2758,-14.53158,9.29527,3,1,1,2
276,-0.77206,-0.3578,-0.02711,12.86635,-2.74861,-0.42354,60.19988,7.87546,28.47171,3,1,1,5
277,-0.70937,-0.35947,-0.04451,13.33188,-3.25141,-1.33535,15.49349,-27.64314,38.99608,3,1,1,1
