label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
171,-2.09118,-8.03844,-2.09283,4.61653,6.87054,-3.68111,-0.00013,-0.00588,-0.00084,37.50672,92.67723,208.16112,1,1,1,1,3
172,1.69896,-10.14185,2.07641,2.51691,7.35688,-3.31271,0.00149,-0.00849,0.00312,34.99441,-43.4878,-35.64934,1,1,1,2,1
173,-3.12313,-3.94792,-4.0126,6.0361,5.20672,-2.86593,-0.00062,-0.00441,-0.00382,18.6129,-34.74943,-12.05404,1,1,1,2,4
174,-5.46667,1.32206,-2.29623,8.65558,1.77361,-1.55746,-0.00242,-0.00103,-0.00274,-47.21362,65.79876,5.7889,1,1,1,2,1
175,-1.51491,-8.55537,-2.62308,3.88049,6.43373,-3.27823,0.0004,-0.00638,-0.00119,74.4297,-6.86812,-41.54039,1,1,1,2,1
176,-3.61123,-5.27487,-2.4701,5.57084,5.92182,-3.62672,-0.00076,-0.0045,-0.00236,4.02527,-39.58732,-21.42438,1,1,1,2,1
177,-0.11475,-11.24196,5.75063,2.27965,6.79175,-3.62367,0.0012,-0.0086,0.00545,72.87319,21.01524,-22.19964,1,1,1,2,3
178,-1.40213,-10.03528,0.71064,2.64292,6.14972,-3.26921,0.00092,-0.00785,0.00309,34.0015,-57.85982,-27.08605,1,1,1,2,1
179,-2.91277,-9.3004,0.27649,3.98239,6.66614,-4.2062,0.00031,-0.00726,0.00213,36.28109,-45.2256,-14.28442,1,1,1,2,3
180,-1.67304,-11.41309,3.23295,2.38631,6.18571,-3.43661,0.00108,-0.00861,0.00625,-9.67877,-51.92084,81.33843,1,1,1,2,1
181,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,28.27582,111.21181,179.91711,2,2,1,1,3
182,-4.67052,-5.76964,-1.29427,5.94219,5.13697,-3.62834,-0.00097,-0.00455,-0.00075,-0.07421,-57.8598,-21.35205,1,1,1,2,2
183,-5.69088,-0.16857,0.17682,9.41452,2.20064,-2.01004,-0.00259,-0.00099,-0.00182,17.81754,36.60658,32.05543,1,1,1,2,2
184,-1.13518,-11.81697,6.07906,2.4216,5.86928,-3.70517,0.00092,-0.00852,0.00723,52.5783,-46.24507,-25.30199,1,1,1,2,3
185,-2.84982,-9.7049,3.13937,3.28075,6.0402,-3.59462,0.00056,-0.0075,0.00498,48.1942,-58.13769,-39.94588,1,1,1,2,4
186,-7.01904,-0.03603,-1.61033,9.14834,2.40892,-2.46444,-0.00257,-0.00136,-0.00142,15.26946,0.04497,38.88739,1,1,1,2,4
187,-4.45282,-4.30449,1.87316,6.69871,4.48322,-3.77051,-0.00128,-0.00421,0.00166,36.91566,61.39278,-47.30386,1,1,1,1,2
188,-5.90107,-2.96043,-2.03599,7.56015,4.05933,-3.51257,-0.00174,-0.00315,-0.00072,5.02302,-29.28678,0.84551,1,1,1,2,2
189,-9.31832,4.50706,0.03092,13.07003,-2.96026,1.91151,-0.00452,0.00351,0.00017,-58.90629,-57.32596,-10.52803,2,3,1,1,3
190,-6.57721,-3.914,-3.04793,6.58806,4.62123,-3.6462,-0.0015,-0.0037,-0.00047,3.82643,-49.0974,-3.15441,1,1,1,2,1
191,-5.4527,-2.27375,1.83405,6.85409,4.73765,-3.93313,-0.00143,-0.00389,605,53.3451,27.06256,31.39652,1,1,1,2,2
192,-5.77096,-6.23762,2.59237,6.13972,5.04257,-4.05837,-0.00099,-0.00488,0.00183,55.03493,-1.76046,48.41398,1,1,1,2,2
193,-5.17597,-5.78516,-1.43646,6.08437,5.26442,-4.4168,-0.00119,-0.00471,0.00086,-58.0098,-38.76908,-29.34831,1,1,1,2,3
194,-6.94029,-4.31058,-0.37819,6.29783,5.18345,-4.29076,-0.00143,-0.00418,0.00084,27.14998,-19.94508,31.90764,1,1,1,2,2
195,-7.29602,2.92178,-3.05334,10.74169,-0.53961,0.11876,-0.0036,0.00151,-0.00163,-56.49778,6.73298,-26.37671,1,1,1,2,1
196,-4.05265,-9.42077,4.85193,3.49325,6.17206,-4.84361,-0.00015,-0.00734,0.00672,-63.236,46.77884,3.31265,1,1,1,1,1
197,-8.28019,-4.15526,-2.9571,7.10309,4.32545,-3.57393,-0.00198,-0.00294,0.00063,22.77444,-23.07373,12.00084,1,1,1,2,3
198,-6.14662,-3.71976,-1.41875,7.30168,4.07684,-3.61713,-0.00193,-0.00295,0.00018,35.82807,-16.32096,52.88127,1,1,1,2,1
199,-4.50504,-8.62748,4.90838,4.16951,5.97033,-4.72311,-0.00045,-0.00665,0.00561,49.29372,-39.0132,-1.30864,1,1,1,2,1
200,-5.9984,-7.23341,2.30368,4.87327,5.87664,-4.7816,-0.00074,-0.00586,0.00448,46.49932,-30.46042,29.14682,1,1,1,2,3
201,-6.34029,0.23012,0.41015,9.57216,2.75659,-2.93076,-0.00275,-0.0013,-0.00083,9.13509,-109.39725,-9.34786,1,1,1,1,2
202,-6.19424,-6.92786,4.24106,5.42315,5.48719,-4.93414,-0.00107,-0.0055,0.00515,-32.84532,-55.9516,-42.47837,1,1,1,2,3
203,-6.43068,-6.9502,3.92896,4.98552,5.22835,-5.05118,-0.00117,-0.00539,0.0054,17.54938,-63.23186,-73.14324,1,1,1,2,3
204,-8.18853,-6.3073,2.84583,5.80402,4.75453,-4.53843,-0.00163,-0.00429,0.00411,37.52774,-32.12898,11.38442,1,1,1,2,3
205,-7.2023,-3.902,-0.5953,7.90929,3.36253,-3.37095,-0.00234,-0.00228,0.00083,-30.36227,70.48278,87.52384,1,1,1,1,1
206,-9.00712,-0.60988,-1.25325,8.73154,1.84801,-2.29194,-0.00282,-0.00104,0.0003,16.69968,-41.15428,13.14931,1,1,1,2,1
207,-7.47508,-7.70264,4.10287,4.43637,5.34105,-4.59443,-0.00087,-0.00574,0.00722,11.31899,47.98202,54.02302,1,1,1,2,4
208,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,43.8814,-10.46942,16.59196,2,2,1,2,1
209,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,-54.99604,21.1493,12.85065,2,2,1,2,4
210,-7.368,-1.79164,-0.79844,8.96074,3.08921,-3.19677,-0.00256,-0.00176,0.00068,-56.66562,47.79996,40.87055,1,1,1,2,2
211,-9.0752,-5.55592,1.14656,6.53533,4.32559,-4.33038,-0.00175,-0.00407,0.00369,33.8795,-48.58112,20.02041,1,1,1,2,1
212,-9.32592,-4.45862,2.52361,6.06836,3.93854,-3.7625,-0.00185,-0.0034,0.00361,27.16599,-56.48824,2.60667,1,1,1,2,4
213,-8.20338,-6.49314,5.14027,5.07074,4.79421,-4.72162,-0.00146,-0.00496,0.00668,52.955,-46.6585,17.96064,1,1,1,2,3
214,-9.24831,-2.75756,-2.04664,8.35229,2.66268,-2.90351,-0.00255,-0.00169,0.00112,-66.2713,-32.1414,40.68013,1,1,1,1,1
215,-6.52655,0.58469,1.39422,9.36435,2.65898,-2.889,-0.00293,-0.00103,0.00037,72.10067,25.18412,11.30735,1,1,1,2,3
216,-9.3247,4.52875,0.01347,13.25204,-3.07374,2.00537,-0.00452,0.00355,0.00012,-60.40308,3.13442,62.05045,2,4,1,2,2
217,-6.70712,-8.39975,6.45658,4.86833,4.07036,-4.56534,-0.00143,-0.00515,0.00834,48.2716,-60.10592,5.66576,1,1,1,2,3
218,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,-11.39867,2.71612,-58.56616,2,2,1,2,3
219,-10.35952,3.49183,-0.12893,12.29751,-1.92051,0.92069,-0.00424,0.00274,0.00016,-54.49116,-14.37451,-15.06674,2,1,1,2,4
220,-10.04148,-3.03462,1.79672,6.99512,3.20847,-3.41273,-0.00219,-0.00261,0.00283,47.11016,-72.28432,29.50977,5,1,1,2,4
221,-8.48757,-9.00677,9.0048,3.63418,3.67342,-4.06614,-0.00109,-0.00548,0.01122,42.62218,-74.67824,-0.94375,1,1,1,2,4
222,-9.79764,-4.34968,3.70378,6.18479,3.53724,-3.86068,-0.00192,-0.00347,0.00575,30.82232,-69.40159,16.97982,1,1,1,2,2
223,-8.60469,-7.93111,7.72209,4.56533,4.10976,-4.58061,-0.00147,-0.00473,0.00995,-46.93999,25.80999,66.17102,1,1,1,2,2
224,-10.55853,-6.03019,4.50907,5.40499,3.76208,-4.13067,-0.00176,-0.00397,0.00814,42.82802,-53.77732,37.5469,1,1,1,2,2
225,-9.93188,-5.42441,5.17073,5.82213,3.56219,-4.09884,-0.00197,-0.00361,0.00825,69.3291,-43.66495,-8.65264,1,1,1,2,2
226,-10.40623,-3.29645,3.9962,6.56128,3.24219,-3.82299,-0.0023,-0.00278,0.00598,11.86376,-63.81338,14.77653,1,1,1,2,1
227,-10.39187,-1.76482,2.31707,8.27415,2.67349,-3.30006,-0.00289,-0.00126,0.00328,-6.35058,-58.73876,18.70227,5,1,1,2,2
228,-8.92534,-0.21948,2.65202,8.45698,2.23005,-3.03128,-0.00307,-0.00077,0.00326,-15.53281,-57.52776,8.72374,1,1,1,2,2
229,-8.68339,3.87948,0.35453,13.30549,-3.04299,1.93368,-0.0045,0.00344,0.00022,-19.67586,-10.98747,57.21241,2,4,1,2,2
230,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,-21.23596,15.5889,40.35684,2,2,1,2,4
231,-10.0124,4.36227,0.47785,12.81158,-2.82006,1.7225,-0.00443,0.00321,0.00088,-45.91872,-48.48114,42.08656,2,1,1,1,1
232,-9.35088,4.29464,0.24479,12.96466,-2.99035,1.89136,-0.00448,0.00334,0.00049,-28.54514,-24.17677,47.60246,2,3,1,2,3
233,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,-25.85114,23.56811,24.34994,2,2,1,2,4
234,-7.71595,2.23578,-0.57777,12.0988,-0.58787,-0.49775,-0.00391,0.00163,-0.00021,-88.08648,-10.62458,35.29807,2,1,1,1,1
235,-8.85957,2.3925,-0.31887,11.64402,-0.63999,-0.30897,-0.00394,0.00171,0.00047,-3.10406,-12.28201,17.00292,2,1,1,2,1
236,-7.56647,1.4241,-0.24037,11.0597,0.90342,-1.79669,-0.00362,0.00076,0.00061,6.65789,-24.93603,29.32564,2,1,1,2,2
237,-10.24733,-1.72249,2.5354,8.48442,2.18315,-2.94829,-0.00301,-0.001,0.00368,23.43854,-39.82242,42.36222,5,1,1,2,3
238,-9.98598,-1.20642,0.25347,9.41376,1.95664,-2.76166,-0.00313,-0.00054,0.00212,-16.94674,-36.64364,2.51979,6,1,1,2,2
239,-10.01953,4.34973,0.53049,12.74306,-2.84455,1.75446,-0.00446,0.00325,0.00084,-8.04962,-27.32492,91.47769,2,1,1,2,3
240,-7.91268,0.98521,-0.52687,11.26327,0.74151,-1.73224,-0.0036,0.00068,0.00085,-25.76513,-39.82834,15.57575,2,1,1,2,2
241,-10.55364,-2.52077,0.8397,9.28235,2.24406,-3.17254,-0.003,-0.00118,0.00399,55.50683,1.60623,129.65532,6,1,1,1,1
242,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,155.32849,32.7974,17.01537,2,2,1,1,2
243,-8.65139,2.00468,0.16588,11.29317,-0.48626,-0.60277,-0.00378,0.00127,0.00097,-21.53046,-20.81428,23.71254,2,1,1,2,1
244,-10.75989,-1.80938,0.59822,9.42464,1.49867,-2.60379,-0.00315,-0.00066,0.00383,-4.23022,-37.62407,20.2261,6,1,1,2,3
245,-8.44686,3.48623,-0.45217,13.08169,-2.45837,1.34412,-0.00437,0.00305,-0.00019,-31.07607,16.36728,7.25073,2,1,1,2,2
246,-8.86469,-1.10112,0.87099,10.18694,1.56073,-2.5901,-0.00328,-0.00038,0.00265,13.4008,-62.85226,34.17367,6,1,1,2,3
247,-8.85873,-0.65389,0.8233,10.13539,1.6084,-2.53998,-0.00329,-0.00028,0.00267,8.40096,-47.58922,31.43211,6,1,1,2,2
248,-11.20828,-0.17986,0.35887,9.78811,1.01027,-2.03111,-0.00342,0.00012,0.00244,-7.41773,-26.59698,41.33612,6,1,1,2,4
249,-7.67809,1.79229,0.12354,11.6967,0.20822,-1.22876,-0.00378,0.00122,0.00063,2.26804,-79.90811,-53.02235,2,1,1,2,2
250,-7.72349,2.24006,-0.53225,12.04591,-0.72234,-0.43349,-0.00394,0.00168,0,67.9145,-25.78772,11.40585,2,1,1,2,1
251,-11.05235,-1.73247,2.65622,8.25972,1.5378,-2.60915,-0.00307,-0.00097,0.00528,-0.86391,-63.26686,44.27426,5,1,1,2,1
252,-11.87829,0.95363,1.42564,8.09595,1.52982,-2.39179,-0.00317,-0.0004,0.00464,-8.11603,-45.21485,44.19288,1,1,1,2,4
253,-7.70724,1.71667,0.24165,11.43161,0.47361,-1.47179,-0.00374,0.00106,0.00103,-20.51202,-43.49296,30.59828,2,1,1,2,2
254,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,-15.29582,7.71674,20.37845,2,2,1,2,2
255,-11.6317,-1.92337,4.25651,6.90475,1.13153,-2.28384,-0.00293,-0.00116,0.00783,-2.37899,-73.31664,0.91278,5,1,1,2,3
256,-11.17904,-1.54343,3.5978,8.41337,0.61357,-1.91908,-0.00324,-0.00045,0.00585,-1.04542,-56.35518,61.48867,5,1,1,2,3
257,-11.2434,-0.78375,3.32536,9.24229,0.19665,-1.35102,-0.00335,-0.0001,0.00518,-20.6458,-59.81112,51.76667,5,1,1,2,2
258,-8.30521,3.1359,-0.30426,13.05666,-2.57867,1.42794,-0.00436,0.00301,0.00011,41.43212,8.62315,69.67148,2,1,1,2,4
259,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,-47.00849,0.47318,13.37518,2,2,1,2,4
260,-8.50311,2.85569,0.21198,12.44569,-1.61458,0.47174,-0.00409,0.00209,0.0009,17.07944,14.88132,77.3839,2,1,1,2,3
261,-11.93275,1.84735,0.97464,9.2569,-0.00485,-1.154,-0.00353,0.00047,0.00395,5.38706,-39.87111,52.76072,1,1,1,2,4
262,-11.07095,2.02927,0.30169,10.93582,-0.59602,-0.59281,-0.00386,0.00144,0.00207,47.35838,54.65018,29.8157,1,1,1,2,2
263,-12.68602,-0.11729,3.80669,6.88556,-0.11735,-1.01132,-0.0032,-0.00015,0.00745,13.11671,-12.79206,74.2336,1,1,1,2,2
264,-11.07953,2.26425,0.29949,10.93484,-0.94128,-0.31794,-0.0039,0.00161,0.00228,20.199,5.2211,58.86212,2,1,1,2,3
265,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,0.39926,12.58846,13.21033,2,2,1,2,3
266,-12.01525,1.46113,3.25809,9.16615,-0.3906,-0.84317,-0.00367,0.00077,0.00485,-75.4974,-21.33836,-17.96492,1,1,1,2,3
267,-8.26886,2.92309,-0.2617,13.1095,-2.381,1.23606,-0.00433,0.00288,0,11.37224,25.85852,61.225,2,1,1,2,2
268,-12.8356,2.11683,2.79273,8.06776,-0.48754,-0.67857,-0.00353,0.00064,0.0061,-6.96028,-30.35897,66.2943,1,1,1,2,3
269,-9.3233,4.52897,-0.04913,13.16642,-3.11332,2.074,-0.00453,0.00354,0.00012,-67.34436,-6.73899,34.89731,2,4,1,2,3
270,-12.87392,0.39781,5.93894,7.19891,-0.27153,-0.78319,-0.00337,0.00026,0.0078,5.45489,-24.22312,66.40346,1,1,1,2,3
271,-9.295,4.57322,-0.17288,13.00924,-3.21911,2.16461,-0.00455,0.00359,0,-40.01117,7.94819,29.91902,2,1,1,2,3
272,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,0,36.55852,20.72138,19.94276,2,2,1,2,3
273,-12.03963,3.46681,2.74842,9.78009,-1.0696,-0.13619,-0.00385,0.00134,0.00438,-8.22346,-15.79971,75.93848,1,1,1,2,3
274,-11.1766,4.6435,0.96812,10.86319,-1.99086,0.90444,-0.00417,0.00248,0.0023,-24.74996,-7.65222,76.58403,2,1,1,2,1
275,-11.69055,4.04751,2.11101,10.86967,-1.783,0.74215,-0.00396,0.00188,0.00361,-19.00493,12.40692,67.40036,2,1,1,2,2
276,-12.32973,4.69101,1.56226,8.96447,-1.48102,0.45575,-0.00391,0.0019,0.00449,-46.91998,-14.55325,36.9053,2,1,1,2,1
277,-10.44571,4.74306,0.38273,11.96482,-2.58862,1.5872,-0.00439,0.00308,0.00118,-10.16688,36.38641,47.18465,2,1,1,2,1
