label,Iso_map,,,RandomTrees,,,Spec-tral,,,t_SNE,,,IsomapClustering,Random_TreesClustering,SpectralClustering,t-SNEClustering,LouvainClustering
42,-10.19136,4.15335,0.68854,12.36513,-2.63645,1.52937,-0.00437,0.00298,0.00126,-3.78977,-3.67335,57.54608,2,1,1,2,3
43,-9.32683,4.44456,0.12096,13.06085,-3.03383,1.93247,-0.00452,0.00358,805,-1.64788,17.14582,47.05961,2,3,1,2,4
44,18.71395,3.68859,1.57481,0.22824,4.08888,6.28298,0.00754,0.00356,0.0037,-42.34938,3.38578,-66.30934,1,1,1,2,3
45,-1.52819,8.91423,3.16942,3.24701,1.58284,0.45452,105,0.00413,-0.00562,-31.57363,59.36052,22.8665,1,1,1,2,2
46,2.61375,5.62015,-4.29744,2.20316,2.33365,0.91112,0.00126,0.00343,-0.00787,-45.95957,-33.58246,62.65138,1,1,1,2,1
47,15.98301,3.54443,0.80314,0.27396,4.09501,5.57773,0.00675,0.00422,-0.00083,12.33253,48.0991,-27.72518,1,1,1,2,2
48,-9.295,4.57322,-0.17288,13.09781,-3.0364,1.95245,-0.00455,0.0036,-705,-29.11633,46.27592,38.32091,2,3,1,2,2
49,21.60697,-1.63081,4.06209,0.11987,3.68061,7.0328,0.00888,0.00358,0.00864,11.50479,47.51374,-50.85245,1,1,1,2,4
50,-9.71169,4.50215,0.30907,13.05431,-3.04685,1.9937,-0.0045,0.0035,0.0003,-38.58621,6.43569,55.34789,2,3,1,2,2
51,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,46.55086,3.6601,28.4864,2,2,1,2,4
52,-8.44311,4.17281,0.07187,13.47627,-3.15352,2.077,-0.00455,0.0036,-705,28.81457,-0.61031,23.3652,2,2,1,2,3
53,15.73635,4.77734,0.94545,0.32402,4.17271,6.32975,0.00707,0.00369,0.00054,10.44559,-87.93642,12.31554,1,1,1,2,2
54,14.10162,6.19425,-0.74304,0.55196,3.53367,3.97083,0.00555,0.00388,-0.0034,2.6547,32.66668,-33.20163,1,1,1,2,4
55,16.85644,3.15645,2.0837,0.2239,4.4736,7.13021,0.00775,0.00251,0.00429,-29.9639,-75.70505,-5.66922,1,1,1,1,3
