0,11,0.9
11,0,0.9
0,12,0.9
12,0,0.9
1,13,0.9
13,1,0.9
1,14,0.9
14,1,0.9
6,2,0.5
2,6,0.5
2,8,0.5
8,2,0.5
2,15,0.9
15,2,0.9
2,16,0.9
16,2,0.9
2,17,0.9
17,2,0.9
2,18,0.9
18,2,0.9
3,19,0.9
19,3,0.9
3,20,0.9
20,3,0.9
4,21,0.9
21,4,0.9
4,22,0.9
22,4,0.9
4,23,0.9
23,4,0.9
5,6,0.2
6,5,0.2
5,8,0.5
8,5,0.5
5,24,0.9
24,5,0.9
8,6,0.2
6,8,0.2
6,25,0.9
25,6,0.9
6,26,0.9
26,6,0.9
6,27,0.9
27,6,0.9
7,28,0.9
28,7,0.9
7,29,0.9
29,7,0.9
8,30,0.9
30,8,0.9
9,31,0.9
31,9,0.9
9,32,0.9
32,9,0.9
9,33,0.9
33,9,0.9
10,34,0.9
34,10,0.9
10,35,0.9
35,10,0.9
10,36,0.9
36,10,0.9
11,12,0.72
12,11,0.72
13,11,0.08
11,13,0.08
14,13,0.78
13,14,0.78
15,16,0.74
16,15,0.74
17,15,0.74
15,17,0.74
16,18,0.74
18,16,0.74
19,20,0.8
20,19,0.8
29,19,0.76
19,29,0.76
21,22,0.8
22,21,0.8
21,36,0.06
36,21,0.06
22,23,0.76
23,22,0.76
27,25,0.78
25,27,0.78
26,27,0.8
27,26,0.8
29,28,0.72
28,29,0.72
31,32,0.82
32,31,0.82
36,31,0.72
31,36,0.72
32,33,0.74
33,32,0.74
35,34,0.8
34,35,0.8
36,35,0.8
35,36,0.8
