label,H2HDelegationMediation,,
1,0,1,0.25
2,0,1,0.25
3,-1,-1,0.25
4,0,1,0.25
5,1,2,0.25
6,-1,-1,0.25
7,1.66666666667,1.66666666667,0.25
8,0,1,0.25
9,-1,-1,0.25
10,1.33333333333,1.66666666667,0.25
11,0,3,0.25
12,0,1,0
13,0,1,0
14,0,1,0
15,0,1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,0,1,0
21,0,1,0
22,0,1,0
23,1,3,0
24,2,2,0
25,-1,-1,0
26,1,0,0
27,2,3,0
28,2,2,0
29,0,1,0
30,0,1,0
31,-1,-1,0
32,3,1,0
33,1,3,0
34,0,1,0
35,0,3,0
36,0,3,0
37,0,3,0
