cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,1212,132.65924,180.71865,110.57426,2.0,0.99669967,0.00330033
2,826,159.6247,166.80145,106.90194,2.0,0.23970944,0.76029056
3,1207,157.4797,152.48219,93.346313,2.0,0.32062966,0.67937034
4,1477,131.38456,179.3155,115.61679,2.0,1,0
5,3549,162.19949,167.82277,97.60355,4.0,0.11749789,0.88250211
6,758,130.7124,183.42084,114.0752,2.0,0.99604222,0.0039577836
7,529,161.24953,166.41777,103.77316,4.0,0.20793951,0.79206049
8,956,149.77929,161.12029,88.018828,2.0,0.91108787,0.088912134
9,311,152.83601,173.209,115.55949,4.0,0.37620579,0.62379421
10,1877,130.67022,179.08045,114.74427,4.0,1,0
11,1083,150.52909,154.86796,89.9012,2.0,0.85687904,0.14312096
12,866,131.42379,183.06005,120.03349,4.0,0.99884527,0.0011547344
13,533,131.18199,185.14447,111.9212,2.0,0.97560976,0.024390244
14,1520,165.40526,173.73487,101.76053,4.0,0.015789474,0.98421053
15,2210,162.10407,169.37873,95.899095,1.0,0.10497738,0.89502262
16,2846,159.29164,171.62333,95.273717,4.0,0.30604357,0.69395643
