cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,4760,99.403571,178.71176,98.060294,4.0,0.21512605,0.78487395
2,3554,103.23438,168.61761,110.87338,2.0,0.17895329,0.82104671
3,3356,106.93206,170.99195,103.37872,2.0,0.038736591,0.96126341
4,7278,79.757076,161.52885,93.18233,2.0,0.9997252,0.00027480077
5,6286,94.150016,154.951,113.72129,2.0,0.47120585,0.52879415
6,2089,100.76975,134.99904,104.5797,2.0,0.18238392,0.81761608
7,3232,88.997215,164.71906,77.362624,2.0,0.76237624,0.23762376
8,3515,100.89161,139.93883,100.32205,2.0,0.16330014,0.83669986
9,3682,99.333786,170.74932,101.13417,4.0,0.18468224,0.81531776
10,6760,96.735503,162.17041,87.08432,2.0,0.37426036,0.62573964
11,2707,83.360177,105.44108,38.566679,2.0,0.95825637,0.041743628
12,1644,93.152676,147.23844,75.673966,2.0,0.56265207,0.43734793
13,4388,77.79649,157.64881,98.796946,2.0,0.99886053,0.0011394713
14,3397,81.682956,110.76097,48.99529,2.0,0.9505446,0.049455402
15,4136,101.94052,176.04932,103.01088,2.0,0.22533849,0.77466151
16,3216,96.753109,110.78514,49.581779,2.0,0.26119403,0.73880597
