0,5450,1.6478736
0,11236,1.6060967
0,11414,1.632294
0,15454,1.6966561
0,44830,1.6708008
0,50633,1.6039568
0,53287,1.3119626
1,4,0.5631202
1,3685,0.5340337
1,6408,0.54960823
1,15460,0.54500324
1,43126,0.5435222
2,23,0.614825
2,11103,0.57164747
2,11256,0.60590214
2,12600,0.8275023
2,27681,0.7611326
2,29531,0.704626
2,29942,0.8499452
2,29950,0.5951109
2,31455,0.6725247
2,51713,0.54826176
2,52227,0.6272951
2,57474,0.59731525
3,7412,1.0352548
3,11247,1.0125399
3,25943,1.2772818
3,25966,1.0288606
3,48357,1.0330956
3,48405,1.0310059
3,50082,1.3497564
4,1,0.5631202
4,1998,0.6551785
4,2525,0.5773347
4,3124,0.57279575
4,6361,0.59268814
4,8678,0.5909886
4,9933,0.57240725
4,12638,0.49819285
4,33514,0.59654903
5,440,1.271025
5,7412,1.0415276
5,9961,1.1942289
5,12420,0.83870375
5,18436,0.66408604
5,20392,0.8085486
5,22117,0.8381384
5,25814,0.7873498
5,26740,0.9492318
5,27665,0.93688464
5,33480,0.8117567
5,45005,1.0136051
5,48539,0.79071444
5,56172,0.84229976
6,71,0.73514307
6,39100,0.61648035
6,40947,0.5984796
6,51717,0.63718385
6,52227,0.6257137
6,56162,0.62356615
7,4420,0.85947293
7,15320,0.8426734
7,22104,0.67782724
7,22122,0.7731853
7,29513,0.83863837
7,41847,0.85184884
7,60150,0.8591955
8,1534,0.80644554
8,2975,0.81945205
8,16843,0.8276239
8,18370,0.819713
8,24823,0.8049186
9,284,0.56391644
9,453,0.5893973
9,1631,0.6306303
9,5408,0.7836724
9,11309,0.56006265
9,26068,0.5725963
9,26080,0.53027976
9,29814,0.55938965
9,31725,0.5507475
10,12304,0.7106695
10,24023,0.71192944
10,38982,0.71013755
10,44422,0.7132036
10,48083,0.71143466
11,5418,0.9033604
11,5429,0.8489811
11,22081,0.82298857
11,26014,0.84824795
11,29281,0.8210327
11,29530,0.81275874
11,31570,0.89792943
11,57474,0.8528993
12,71,0.7499259
12,5443,0.6582397
12,7582,0.6849359
12,13968,0.6875988
12,21865,0.6697471
12,27435,0.6789347
12,39415,0.65795785
13,44,0.6273865
13,693,0.6229642
13,8679,0.5710169
13,10033,0.5729285
13,11303,0.5530121
13,15470,0.75924325
13,26069,0.56715083
13,29783,0.54815173
13,35066,0.62613803
13,42917,0.55763173
14,441,0.61836076
14,7505,0.96458477
14,15475,0.6236508
14,20454,0.62593466
14,22203,0.6253051
14,33736,0.71620125
14,41284,0.6078723
15,5429,0.7863157
15,12616,0.6249992
15,18691,0.66291153
15,33475,0.7945478
15,39454,0.8234379
15,39455,0.7744596
15,45008,0.8414847
15,48360,0.7653372
16,2463,0.68606627
16,10213,0.6613628
16,13993,0.6803943
16,15470,0.76281846
16,20730,0.5240657
16,22564,0.6786779
16,25634,0.67196727
16,29909,0.67517555
17,3776,1.1421582
17,5380,1.1149812
17,12608,1.1418914
17,15521,1.6964872
17,15770,1.1443592
17,27873,1.1363189
18,454,0.4845374
18,662,0.82817334
18,668,0.48766857
18,678,0.57987094
18,1243,0.45590934
18,1251,0.76734453
18,1618,0.436083
18,3076,0.44901702
18,5511,0.43483797
18,10013,0.44318402
18,13942,0.51544744
18,18718,0.60535216
18,41177,0.47911912
18,41247,0.4319399
18,44923,0.40938124
18,44946,0.47411883
19,71,0.9273111
19,5363,0.92458063
19,7441,0.91018873
19,8650,0.9232752
19,20392,0.8231724
19,22200,0.9320321
19,46580,1.0899339
20,24,1.008582
20,5405,1.4683717
20,6345,1.2144245
20,11236,1.4518844
20,11247,1.4536644
20,26014,1.4573772
20,39202,1.4480888
21,1581,0.45387363
21,3123,0.4047083
21,7383,0.47190306
21,8957,0.41871646
21,11246,0.39793214
21,17043,0.5025702
21,22192,0.44013184
21,27875,0.5362351
21,39303,0.42209366
21,50169,0.42763403
22,32,0.52650666
22,38,0.44653153
22,3039,0.5175118
22,6374,0.40302524
22,7381,0.5364436
22,9932,0.529218
22,11233,0.4989078
22,13953,0.6307834
22,27939,0.52669275
22,31628,0.55775183
22,51771,0.6730942
23,2,0.614825
23,3743,0.52416396
23,9942,0.5143792
23,12616,0.6041754
23,18749,0.5348211
23,22200,0.5101378
23,22203,0.6946538
23,22207,0.5969769
23,22212,0.55577433
23,22258,0.5736554
23,44998,0.5305777
24,20,1.008582
24,6367,1.0243046
24,11228,1.1894904
24,17018,1.0893922
24,26014,1.0475094
24,27681,1.0113586
24,43177,1.1121141
24,50136,1.0279832
24,50633,0.92436683
25,2489,0.4717444
25,7640,0.7294007
25,8966,0.47106564
25,8973,0.47833523
25,8981,0.46407375
25,19030,0.47430184
25,26175,0.5496824
26,271,0.5444124
26,454,0.5030472
26,1606,0.4236402
26,11269,0.43575266
26,19040,0.4725271
26,41163,0.4591734
26,41177,0.46552438
26,44779,0.50897366
26,44960,0.42986503
26,50165,0.45646855
26,50188,0.4670573
27,449,0.3995352
27,1580,0.4415429
27,6369,0.37861732
27,7381,0.41103247
27,9922,0.5400916
27,11233,0.5157332
27,13971,0.40616256
27,26074,0.44121176
27,27798,0.39896432
27,35417,0.4856526
27,43126,0.44000888
27,44974,0.39943138
28,2477,0.51469314
28,2498,0.5403041
28,6360,0.41655743
28,7471,0.4054934
28,7551,0.39811334
28,8672,0.52580184
28,9942,0.49790493
28,11263,0.43869698
28,20393,0.4017902
28,20523,0.48562142
28,25918,0.5367208
28,27838,0.39595395
28,33491,0.46323636
28,37546,0.47361973
29,8656,0.5366782
29,9933,0.5846976
29,11264,0.46385664
29,12606,0.46809596
29,17023,0.51628625
29,22280,0.5094896
29,24138,0.47086874
29,25918,0.47068414
29,26013,0.59980935
29,27779,0.4059406
29,29640,0.46297613
30,8658,0.6121415
30,11264,0.5671901
30,15423,0.5538018
30,15467,0.65374166
30,17129,0.5424548
30,22200,0.5934709
30,22280,0.5665073
30,26013,0.5617561
30,51774,0.814134
31,2486,0.5584524
31,4507,0.6716418
31,4524,0.67713714
31,5341,0.5440264
31,18489,0.54618007
31,22245,0.53900325
31,27435,0.5448488
32,22,0.52650666
32,1580,0.3936746
32,6408,0.4261076
32,8932,0.3876578
32,12610,0.39225185
32,15448,0.39401302
32,31673,0.38876694
32,43126,0.46300238
33,2477,0.5038689
33,3118,0.43845183
33,4486,0.427726
33,7471,0.4281884
33,7473,0.44659534
33,7486,0.46326545
33,18744,0.35756993
33,27891,0.43460926
33,29739,0.42640683
33,37366,0.43498322
33,37385,0.5253498
33,39258,0.43798256
33,42916,0.36138684
34,5409,0.6251579
34,6406,0.53971136
34,10004,0.6323361
34,11363,0.6549969
34,14010,0.64635235
34,45001,0.6609041
34,52083,0.6440872
35,36,0.4412485
35,142,0.44202158
35,3091,0.44075978
35,4474,0.39719573
35,4475,0.42842945
35,7734,0.43011564
35,45009,0.3897133
35,45029,0.40465054
36,35,0.4412485
36,76,0.45064947
36,278,0.45777977
36,455,0.44814217
36,667,0.41878366
36,3028,0.57326466
36,7499,0.44482502
36,19005,0.46425354
36,41257,0.438185
36,43130,0.39801124
36,44780,0.49745962
37,38,0.43811864
37,660,0.51265436
37,667,0.50208706
37,5361,0.44464704
37,6531,0.49866402
37,10013,0.45278287
37,11253,0.5039157
37,15448,0.5026205
37,28076,0.5020149
38,22,0.44653153
38,37,0.43811864
38,5334,0.5215488
38,6374,0.45310658
38,7381,0.43660262
38,8942,0.5055185
38,11224,0.44149268
38,28076,0.45261434
38,37526,0.58983123
39,7690,0.60971767
39,11215,0.60851204
39,11275,0.6179434
39,14270,0.6568811
39,22531,0.5923292
39,27972,0.80520344
39,31759,0.77789134
39,33664,0.6159757
40,681,0.5093567
40,683,0.5047373
40,41163,0.46595645
40,43054,0.50360054
40,44780,0.47297192
40,44960,0.48357892
41,66,0.7812183
41,660,0.5496833
41,937,0.4561101
41,1256,0.5398103
41,1580,0.55026674
41,2487,0.55251
41,19040,0.50235194
41,22550,0.5586552
41,31725,0.5813361
41,39405,0.5126516
41,45007,0.5771294
42,10292,0.80406266
42,10305,0.79690135
42,11545,0.8020165
42,11556,0.8139905
42,12662,0.80046916
42,20727,0.7717822
42,22540,0.7683133
43,681,0.5402606
43,2489,0.4411534
43,3090,0.4619182
43,7729,0.43957138
43,7731,0.44637772
43,11561,0.3916186
43,12634,0.4456839
43,41250,0.4545256
43,48492,0.432583
44,13,0.6273865
44,49,0.54506886
44,3679,0.60103434
44,15470,0.7640951
44,22562,0.5983643
44,24381,0.5994089
44,39414,0.61118615
45,2009,0.675578
45,7424,0.6693914
