cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,2637,175.27114,141.03034,52.023891,2.0,0,1
2,3260,153.29479,158.91963,71.50184,2.0,0.98190184,0.01809816
3,2040,153.43725,157.82892,58.293627,2.0,0.8995098,0.1004902
4,2350,162.41319,127.35319,58.511915,2.0,0.51106383,0.48893617
5,2195,167.66105,135.86651,63.210023,2.0,0.15763098,0.84236902
6,1718,159.90745,147.09371,56.866705,1.0,0.59953434,0.40046566
7,1354,160.96233,147.77474,55.881832,1.0,0.52437223,0.47562777
8,3384,163.29551,146.8354,53.705969,4.0,0.41903073,0.58096927
9,1734,165.56055,125.52826,52.154556,2.0,0.32237601,0.67762399
10,2346,157.69991,149.99659,56.27792,4.0,0.77365729,0.22634271
11,3039,176.2356,141.09378,47.744982,2.0,0.0023033893,0.99769661
12,2285,155.00963,145.22801,67.747046,2.0,0.93960613,0.060393873
13,2999,169.77859,162.59186,54.011671,2.0,0.029676559,0.97032344
14,1852,155.78888,139.2473,49.384449,2.0,0.88390929,0.11609071
15,4220,161.31066,156.98365,72.052844,2.0,0.56208531,0.43791469
16,2232,163.08199,126.98163,66.394265,2.0,0.51478495,0.48521505
