cluster_id,n_nodes,centroid_x,centroid_y,centroid_z,dominant_seg_label,left_fraction,right_fraction
1,4651,81.42722,106.06816,49.932918,2.0,0.79660288,0.20339712
2,6684,109.61041,114.20676,77.957959,2.0,0.070317175,0.92968282
3,5806,86.195143,106.27575,75.822253,2.0,0.57940062,0.42059938
4,2267,84.36921,117.85752,55.806793,1.0,0.85752095,0.14247905
5,2719,93.739978,125.23906,62.983818,4.0,0.41301949,0.58698051
6,2768,97.582009,124.04588,59.186416,4.0,0.27817919,0.72182081
7,4563,93.228359,150.12119,86.086566,2.0,0.46066185,0.53933815
8,3077,96.546636,128.98408,60.941501,1.0,0.33441664,0.66558336
9,1068,97.059925,127.8118,104.55899,2.0,0.18820225,0.81179775
10,5302,76.59072,143.91928,72.480385,2.0,0.81101471,0.18898529
11,1792,85.715402,120.72377,53.540179,4.0,0.82868304,0.17131696
12,5920,91.500676,102.68176,67.299493,2.0,0.54070946,0.45929054
13,4750,71.326316,145.36674,66.613474,2.0,0.97831579,0.021684211
14,1083,86.390582,128.08403,61.081256,4.0,0.62880886,0.37119114
15,5955,114.81847,120.23241,82.445844,2.0,0.0085642317,0.99143577
16,5595,93.168543,141.55407,84.193029,2.0,0.45022341,0.54977659
