label,MRI,,,UPENNModuleClustering
1,51,141,59,10
2,51,141,61,10
3,51,141,62,10
4,51,141,63,10
5,51,141,64,10
6,51,142,63,10
7,51,143,60,10
8,52,132,65,10
9,52,133,66,10
10,52,134,63,10
11,52,134,64,10
12,52,134,65,10
13,52,134,66,10
14,52,135,62,10
15,52,135,65,10
16,52,135,66,10
17,52,136,62,10
18,52,136,65,10
19,52,136,66,10
20,52,136,68,10
21,52,137,59,10
22,52,137,63,10
23,52,137,64,10
24,52,137,65,10
25,52,138,60,10
26,52,138,64,10
27,52,138,65,10
28,52,139,61,10
29,52,139,62,13
30,52,139,63,13
31,52,139,65,10
32,52,140,58,10
33,52,140,61,10
34,52,140,64,10
35,52,140,65,10
36,52,140,67,10
37,52,141,62,10
38,52,141,65,10
39,52,141,66,10
40,52,141,68,10
41,52,141,69,10
42,52,142,58,10
43,52,142,63,10
44,52,142,66,10
45,52,143,58,10
46,52,143,59,10
47,52,143,61,10
48,52,143,63,10
49,52,143,64,10
50,52,143,65,10
51,52,143,67,10
52,52,144,58,10
53,52,144,60,10
54,52,144,63,10
55,52,144,64,10
56,52,146,60,10
57,53,124,62,10
58,53,130,64,10
59,53,130,65,10
60,53,130,66,10
61,53,131,65,10
62,53,132,59,10
63,53,132,60,10
64,53,132,64,10
65,53,132,65,10
66,53,132,69,10
67,53,133,62,10
68,53,133,63,10
69,53,133,65,10
70,53,134,62,13
71,53,134,63,13
72,53,134,66,10
73,53,134,67,10
74,53,135,62,13
75,53,135,63,13
76,53,136,58,10
77,53,136,61,13
78,53,136,63,13
79,53,136,68,10
80,53,137,59,10
81,53,137,60,13
82,53,137,63,13
83,53,137,64,13
84,53,138,60,13
85,53,138,66,10
86,53,138,67,10
87,53,139,59,13
88,53,139,61,13
89,53,139,64,13
90,53,140,63,13
91,53,141,59,13
92,53,141,64,13
93,53,141,68,10
94,53,142,58,10
95,53,142,59,13
96,53,142,61,13
97,53,142,63,13
98,53,142,64,13
99,53,142,67,10
100,53,142,68,10
101,53,143,57,10
102,53,143,60,13
103,53,143,62,13
104,53,143,65,13
105,53,143,67,10
106,53,144,59,13
107,53,144,60,13
108,53,144,65,13
109,53,144,67,10
110,53,145,59,13
111,53,145,61,13
112,53,145,63,13
113,53,146,62,13
114,53,147,60,13
115,53,147,62,10
116,53,149,56,10
117,54,129,62,10
118,54,130,60,10
119,54,130,65,10
120,54,131,61,13
121,54,131,63,13
122,54,131,66,10
123,54,131,68,10
124,54,132,58,10
125,54,132,63,13
126,54,132,64,13
127,54,132,67,10
128,54,133,58,10
129,54,133,63,13
130,54,133,64,13
131,54,133,65,10
132,54,134,58,10
133,54,134,59,13
134,54,134,60,13
135,54,134,63,13
136,54,134,65,10
137,54,134,66,10
138,54,135,59,13
139,54,135,68,10
140,54,136,59,13
141,54,136,61,13
142,54,136,64,13
143,54,137,61,13
144,54,138,58,13
145,54,138,61,13
146,54,138,62,13
147,54,138,66,10
148,54,138,67,10
149,54,139,59,13
150,54,139,60,13
151,54,139,62,13
152,54,139,64,13
153,54,139,65,13
154,54,139,67,10
155,54,140,62,13
156,54,140,63,13
157,54,140,69,10
158,54,141,59,13
159,54,141,61,13
160,54,141,62,13
161,54,141,65,13
162,54,141,69,10
163,54,142,59,13
164,54,142,60,13
165,54,142,63,13
166,54,143,58,13
167,54,143,62,13
168,54,143,63,13
169,54,143,66,13
170,54,144,59,13
171,54,144,61,13
172,54,144,62,13
173,54,144,67,10
174,54,144,69,10
175,54,145,55,10
176,54,145,58,13
177,54,145,59,13
178,54,145,61,13
179,54,145,63,13
180,54,145,65,13
181,54,146,59,13
182,54,146,65,10
183,54,147,53,10
184,54,147,55,10
185,54,147,57,10
186,54,148,55,10
187,54,148,57,10
188,54,148,58,13
189,54,148,60,13
190,54,148,61,13
191,54,149,64,10
192,54,150,54,10
193,54,150,60,10
194,54,150,61,10
195,54,150,63,10
196,54,151,55,10
197,55,126,63,10
198,55,127,60,10
199,55,127,61,10
200,55,128,60,10
201,55,128,61,10
202,55,128,66,10
203,55,129,64,10
204,55,129,65,10
205,55,129,67,10
206,55,129,68,10
207,55,130,58,10
208,55,130,59,10
209,55,130,61,13
210,55,130,63,13
211,55,130,64,13
212,55,130,66,10
213,55,131,58,10
214,55,131,60,13
215,55,131,62,13
216,55,131,63,13
217,55,132,59,13
218,55,132,60,13
219,55,132,62,13
220,55,132,64,13
221,55,132,65,13
222,55,132,68,10
223,55,133,62,13
224,55,133,64,13
225,55,133,66,10
226,55,133,67,10
227,55,133,69,10
228,55,134,59,13
229,55,134,66,10
230,55,134,67,10
231,55,135,58,1
232,55,135,61,13
233,55,135,66,10
234,55,136,62,13
235,55,136,63,13
236,55,138,59,13
237,55,138,60,13
238,55,138,61,13
239,55,138,63,13
240,55,139,60,13
241,55,139,63,13
242,55,139,64,13
243,55,139,66,10
244,55,140,57,10
245,55,140,58,13
246,55,140,59,13
247,55,140,61,13
248,55,140,62,13
249,55,140,68,10
250,55,140,69,10
251,55,141,58,13
252,55,141,59,13
253,55,141,61,13
254,55,141,65,13
255,55,141,66,13
256,55,142,61,13
257,55,142,66,13
258,55,142,67,13
259,55,143,62,13
260,55,143,64,13
261,55,144,57,10
262,55,144,61,13
263,55,144,63,13
264,55,144,65,13
265,55,144,66,13
266,55,145,60,13
267,55,145,67,10
268,55,146,57,10
269,55,146,58,13
270,55,146,59,13
271,55,147,56,10
272,55,147,57,10
273,55,147,58,13
274,55,147,60,13
275,55,147,63,13
276,55,148,54,10
277,55,148,57,13
278,55,148,59,13
279,55,148,62,13
280,55,148,64,10
281,55,149,55,10
282,55,149,56,10
283,55,149,57,13
284,55,149,61,13
285,55,149,63,10
286,55,149,64,10
287,55,150,53,10
288,55,150,54,10
289,55,150,61,13
290,55,150,62,10
291,55,150,63,10
292,55,151,54,10
293,55,151,59,13
294,55,152,55,10
295,55,152,60,10
296,55,152,62,10
297,56,122,57,12
298,56,122,59,12
299,56,125,60,10
300,56,125,62,10
301,56,126,62,10
302,56,126,63,10
303,56,126,64,10
304,56,126,65,10
305,56,127,62,13
306,56,127,64,10
307,56,127,68,10
308,56,128,62,13
309,56,128,64,10
310,56,128,67,10
311,56,129,59,10
312,56,129,60,13
313,56,129,63,13
314,56,129,64,13
315,56,130,58,10
316,56,130,62,13
317,56,131,59,13
318,56,131,60,13
319,56,131,63,13
320,56,131,64,13
321,56,131,66,10
322,56,132,58,10
323,56,132,60,13
324,56,132,61,13
325,56,132,65,13
326,56,132,67,10
327,56,132,68,10
328,56,133,62,13
329,56,133,66,10
330,56,134,60,13
331,56,134,61,13
332,56,134,62,13
333,56,134,63,13
334,56,134,64,13
335,56,134,67,10
336,56,135,62,13
337,56,136,63,13
338,56,137,57,10
339,56,137,58,13
340,56,137,59,13
341,56,137,63,13
342,56,138,57,10
343,56,138,60,13
344,56,139,58,13
345,56,139,60,13
346,56,139,61,13
347,56,139,65,10
348,56,140,62,13
349,56,140,64,13
350,56,140,66,13
351,56,141,57,10
352,56,141,59,13
353,56,141,60,13
354,56,141,63,13
355,56,141,65,13
356,56,141,68,13
357,56,142,58,13
358,56,142,59,13
359,56,142,62,13
360,56,142,64,13
361,56,142,65,13
362,56,143,57,10
363,56,143,60,13
364,56,143,62,13
365,56,143,63,13
366,56,143,65,13
367,56,143,67,13
368,56,143,69,10
369,56,144,61,13
370,56,145,60,13
371,56,145,63,13
372,56,145,64,13
373,56,145,67,10
374,56,146,57,10
375,56,146,59,13
376,56,146,60,13
377,56,146,64,13
378,56,147,62,13
379,56,147,64,13
380,56,148,57,13
381,56,148,62,13
382,56,148,64,10
383,56,149,60,13
384,56,149,61,13
385,56,150,58,13
386,56,151,54,10
387,56,151,56,13
388,56,151,59,13
389,56,151,61,13
390,56,151,63,10
391,56,152,52,10
392,56,152,53,10
393,56,152,54,10
394,56,152,55,10
395,56,152,56,13
396,56,152,61,10
397,56,152,63,10
398,56,153,57,13
399,56,153,60,10
400,57,114,56,12
401,57,115,58,12
402,57,115,59,12
403,57,116,62,12
404,57,116,72,12
405,57,117,55,12
406,57,117,58,12
407,57,117,75,12
408,57,117,76,12
409,57,118,55,12
410,57,118,57,12
411,57,118,77,12
412,57,120,55,12
413,57,120,57,10
414,57,120,60,10
415,57,120,61,10
416,57,121,57,10
417,57,122,55,12
418,57,122,58,10
419,57,122,63,10
420,57,122,64,10
421,57,122,76,10
422,57,123,60,10
423,57,123,62,1
424,57,123,64,10
425,57,123,74,10
426,57,124,74,10
427,57,125,61,10
428,57,126,63,1
429,57,126,77,10
430,57,126,78,10
431,57,127,59,10
432,57,127,62,1
433,57,127,63,1
434,57,127,64,10
435,57,127,65,10
436,57,127,68,10
437,57,127,75,10
438,57,127,78,10
439,57,128,60,13
440,57,128,61,13
441,57,128,64,10
442,57,128,65,10
443,57,128,67,10
444,57,128,76,10
445,57,129,61,13
446,57,129,62,13
447,57,129,63,13
448,57,129,68,10
449,57,129,69,10
450,57,130,60,13
451,57,130,61,13
452,57,130,64,13
453,57,130,65,10
454,57,130,66,10
455,57,131,59,10
456,57,131,63,13
457,57,132,58,10
458,57,132,59,13
459,57,132,64,13
460,57,133,60,13
461,57,133,62,13
462,57,133,66,10
463,57,134,57,10
464,57,134,58,10
465,57,134,60,13
466,57,134,62,13
467,57,135,61,13
468,57,135,63,13
469,57,136,57,10
470,57,136,59,13
471,57,136,62,13
472,57,136,64,13
473,57,137,57,10
474,57,137,59,13
475,57,138,61,13
476,57,139,57,1
477,57,139,59,13
478,57,139,60,13
479,57,139,61,13
480,57,139,66,10
481,57,140,58,13
482,57,140,65,13
483,57,140,68,10
484,57,141,54,10
485,57,141,56,10
486,57,141,58,13
487,57,141,59,13
488,57,141,61,13
489,57,141,66,13
490,57,141,69,10
491,57,142,55,10
492,57,142,56,10
493,57,142,58,13
494,57,142,59,13
495,57,142,69,10
496,57,143,57,10
497,57,143,61,13
498,57,143,62,13
499,57,144,60,13
500,57,144,62,13
501,57,144,64,13
502,57,144,66,13
503,57,144,68,10
504,57,145,63,13
505,57,146,57,10
506,57,146,64,13
507,57,147,60,13
508,57,147,64,13
509,57,148,59,13
510,57,148,60,13
511,57,149,56,10
512,57,149,59,13
513,57,149,61,13
514,57,149,62,13
515,57,150,58,13
516,57,150,62,13
517,57,150,63,10
518,57,151,53,10
519,57,151,55,13
520,57,151,59,13
521,57,151,63,10
522,57,152,54,13
523,57,152,62,10
524,57,153,55,13
525,57,153,57,13
526,57,153,58,13
527,57,153,59,13
528,57,154,54,10
529,57,154,57,13
530,58,109,58,12
531,58,113,53,12
532,58,113,57,12
533,58,113,60,12
534,58,114,62,12
535,58,114,74,12
536,58,114,75,10
537,58,114,76,10
538,58,114,78,10
539,58,115,58,1
540,58,115,60,10
541,58,115,63,12
542,58,115,72,10
543,58,115,73,10
544,58,115,80,10
545,58,116,55,1
546,58,116,59,10
547,58,116,62,10
548,58,116,75,10
549,58,116,83,10
550,58,117,53,12
551,58,117,56,1
552,58,117,57,1
553,58,117,62,10
554,58,117,63,10
555,58,117,64,10
556,58,117,65,10
557,58,117,70,12
558,58,117,71,12
559,58,117,72,12
560,58,117,74,10
561,58,117,83,10
562,58,118,54,1
563,58,118,59,1
564,58,118,62,10
565,58,118,65,12
566,58,118,71,10
567,58,118,73,10
568,58,118,75,10
569,58,118,79,10
570,58,118,80,10
571,58,118,81,10
572,58,118,82,10
573,58,118,83,10
574,58,119,54,1
575,58,119,55,1
576,58,119,57,1
577,58,119,59,1
578,58,119,62,10
579,58,119,65,10
580,58,119,76,10
581,58,120,53,10
582,58,120,55,1
583,58,120,56,1
584,58,120,58,1
585,58,120,60,1
586,58,120,61,1
587,58,120,62,1
588,58,120,64,10
589,58,120,72,10
590,58,120,75,10
591,58,121,59,1
592,58,121,62,1
593,58,121,63,1
594,58,121,69,10
595,58,121,73,10
596,58,121,75,10
597,58,122,52,12
598,58,122,56,1
599,58,122,57,10
600,58,122,58,1
601,58,122,61,13
602,58,122,62,13
603,58,122,71,10
604,58,122,72,10
605,58,122,74,10
606,58,122,75,10
607,58,123,52,10
